Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;6;5;10;3;10;6;9;7;1;6;10;9;6;1;3;3;4
1000001;1A;4;5;3;9;1;3;0;7;0;1;6;8;9;4;0;2;0;3
1000002;1A;4;0;5;1;2;2;0;7;0;0;3;0;5;0;0;0;1;4
1000003;1A;1;0;1;10;3;0;0;6;4;1;6;10;0;1;1;2;3;1
1000004;1A;2;1;0;2;3;10;3;1;4;1;4;10;0;6;1;1;3;3
1000005;1A;8;1;0;2;3;4;4;1;1;1;0;2;0;6;1;2;3;2
1000006;1A;7;6;4;9;1;7;2;0;4;0;1;2;1;2;1;0;1;1
1000007;1A;1;1;1;3;2;4;3;2;0;0;2;7;4;0;0;3;3;2
1000008;1A;8;5;5;2;1;10;3;7;0;1;5;4;2;2;1;2;3;0
1000009;1A;7;3;3;5;3;8;3;1;1;1;3;2;1;5;1;1;3;0
1000010;1A;2;3;1;10;1;0;0;2;0;1;1;9;5;6;0;0;0;2
1000011;1A;7;0;4;4;0;0;5;7;5;1;1;10;5;1;0;0;2;0
1000012;1A;3;5;1;9;0;10;1;0;4;1;4;2;4;2;0;2;0;0
1000013;1A;3;3;4;9;2;2;4;3;2;1;2;0;9;3;0;0;0;3
1000014;1A;5;2;2;1;1;1;1;5;3;0;2;1;2;0;1;3;0;1
1000015;1A;3;4;4;10;3;7;1;8;5;0;5;8;1;1;0;0;3;3
1000016;1A;2;6;1;3;0;7;6;7;0;0;1;2;4;3;1;3;3;1
1000017;1A;4;4;1;8;0;10;6;3;0;1;5;6;0;1;0;1;2;2
1000018;1A;8;5;5;10;2;9;0;2;0;1;2;6;3;2;0;0;1;3
1000019;1A;6;6;0;5;1;1;2;6;2;1;5;4;3;3;1;3;0;2
1000020;1A;1;1;5;4;2;8;5;0;5;1;6;8;2;2;1;0;3;2
1000021;1A;5;0;4;4;2;1;6;5;2;1;2;4;6;2;0;0;2;3
1000022;1A;6;4;4;0;1;4;6;6;2;1;3;10;2;2;0;2;3;3
1000023;1A;3;1;4;3;2;2;0;9;0;0;0;1;5;1;0;1;1;3
1000024;1A;0;2;2;6;1;3;3;6;0;0;6;5;2;5;1;1;2;3
1000025;1A;6;5;4;2;1;0;3;6;5;0;0;0;6;4;0;2;2;3
1000026;1A;6;1;2;1;3;1;3;2;2;0;6;10;6;5;1;1;3;4
1000027;1A;6;6;5;6;3;5;5;7;2;1;1;7;6;1;0;0;1;1
1000028;1A;5;2;3;6;3;4;4;9;3;1;2;8;6;5;0;0;1;2
1000029;1A;3;6;0;0;3;7;3;5;2;1;6;7;0;5;1;0;0;1
1000030;1A;0;6;0;7;0;0;1;8;3;1;6;7;4;4;0;0;3;3
1000031;1A;7;5;0;6;1;5;6;3;5;1;5;10;6;2;1;1;3;0
1000032;1A;1;3;1;0;1;9;1;0;7;0;0;6;7;3;0;3;0;3
1000033;1A;7;0;5;6;0;7;2;6;1;1;1;2;9;1;1;2;2;4
1000034;1A;6;0;0;10;3;9;1;3;3;0;3;5;3;6;0;2;2;2
1000035;1A;3;3;1;0;0;4;4;2;5;1;5;1;1;5;1;3;2;1
1000036;1A;4;1;1;5;2;2;2;4;3;0;5;6;4;6;0;3;2;0
1000037;1A;0;2;1;6;2;2;4;5;3;1;4;5;7;5;0;0;3;4
1000038;1A;5;5;1;0;3;3;3;0;3;1;1;7;3;1;1;1;1;3
1000039;1A;2;0;4;10;0;8;0;4;4;0;0;8;8;4;1;0;0;2
1000040;1A;3;4;2;9;3;7;4;9;0;0;3;4;6;6;0;2;3;0
1000041;1A;8;1;2;1;1;1;1;4;2;0;5;9;4;0;1;2;2;1
1000042;1A;0;5;1;9;3;5;0;3;3;1;3;9;1;5;1;2;1;2
1000043;1A;1;6;1;9;2;0;6;8;0;1;0;10;3;0;0;0;3;1
1000044;1A;1;2;1;5;0;9;3;6;5;1;0;7;5;4;1;1;3;3
1000045;1A;5;2;1;6;1;4;2;1;1;1;1;8;8;4;0;1;2;4
