Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;6;3;2;5;1;9;2;10;9;1;9
1000001;1A;8;2;3;2;3;1;0;2;6;1;0;8
1000002;1A;8;0;0;2;4;1;2;1;8;7;1;5
1000003;1A;3;3;3;2;3;0;7;2;1;6;1;6
1000004;1A;6;1;2;2;2;0;8;2;7;8;1;0
1000005;1A;0;2;2;1;3;1;8;2;0;7;1;1
1000006;1A;5;2;1;1;5;1;0;0;4;5;1;8
1000007;1A;2;5;1;1;2;0;0;2;6;2;0;9
1000008;1A;4;6;2;0;4;1;2;0;10;5;1;9
1000009;1A;0;4;2;1;1;1;4;0;6;4;0;5
1000010;1A;6;6;1;2;1;0;2;2;5;6;0;7
1000011;1A;6;5;1;1;1;1;4;1;9;3;1;8
1000012;1A;4;5;1;1;1;0;5;1;6;5;0;2
1000013;1A;0;4;2;1;5;1;7;2;1;2;1;6
1000014;1A;7;6;2;0;0;1;1;1;9;9;1;0
1000015;1A;0;6;1;2;0;0;0;2;10;7;0;5
1000016;1A;5;4;0;1;4;1;8;0;6;3;1;3
1000017;1A;0;0;1;2;0;0;9;1;7;7;1;4
1000018;1A;4;5;3;0;3;1;6;1;9;3;1;5
1000019;1A;5;2;3;2;1;0;0;0;3;3;0;9
1000020;1A;7;5;2;2;1;0;0;1;3;3;0;8
1000021;1A;3;1;1;2;1;0;6;0;10;6;0;2
1000022;1A;3;0;3;2;4;1;6;1;9;9;0;7
1000023;1A;2;4;2;0;2;0;0;1;10;3;0;1
1000024;1A;7;0;3;1;2;0;0;2;4;7;1;2
1000025;1A;4;6;3;0;4;0;6;1;1;9;0;2
1000026;1A;5;0;1;2;3;0;8;2;4;9;1;1
