Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;4;4;5;10;1;10
1000001;1A;4;4;3;2;0;6
1000002;1A;3;3;2;4;1;10
1000003;1A;0;1;4;5;1;5
1000004;1A;4;1;2;0;1;5
1000005;1A;3;2;3;1;1;7
1000006;1A;0;3;0;9;1;7
1000007;1A;4;0;2;5;1;5
1000008;1A;4;1;3;8;0;8
1000009;1A;0;3;1;3;1;7
1000010;1A;0;3;0;6;0;0
1000011;1A;3;3;1;8;1;2
1000012;1A;0;1;1;1;0;2
1000013;1A;3;2;5;1;0;6
1000014;1A;4;4;2;3;1;8
1000015;1A;2;2;0;9;0;5
1000016;1A;0;0;1;8;0;2
1000017;1A;1;2;4;2;0;10
1000018;1A;2;0;1;10;0;1
1000019;1A;2;3;5;9;0;10
1000020;1A;2;1;3;4;1;6
1000021;1A;1;0;4;4;1;8
1000022;1A;3;2;4;10;1;3
1000023;1A;4;1;2;5;0;2
1000024;1A;4;1;1;3;0;2
1000025;1A;3;0;5;8;1;5
1000026;1A;4;3;3;6;0;1
