Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;10;3;10;9;2;2;1;4;9;8;1;2
1000001;1A;4;3;6;8;0;2;0;1;6;1;1;0
1000002;1A;7;0;2;4;0;0;0;0;8;0;0;2
1000003;1A;2;0;3;1;1;2;0;3;5;6;0;2
1000004;1A;2;0;10;1;1;1;0;0;8;2;0;1
1000005;1A;10;3;3;4;2;2;1;4;8;6;1;2
1000006;1A;6;2;1;1;0;0;0;1;9;7;0;1
1000007;1A;7;2;6;0;1;2;1;2;5;6;1;1
1000008;1A;10;1;9;6;0;0;1;3;2;0;0;1
1000009;1A;1;3;6;8;2;1;1;4;1;7;1;0
1000010;1A;7;0;4;3;1;1;1;0;8;3;1;0
1000011;1A;6;3;3;3;1;1;1;1;7;1;0;0
1000012;1A;3;1;3;0;1;1;0;4;2;8;1;2
1000013;1A;8;1;1;9;0;1;0;0;2;8;0;1
1000014;1A;3;3;4;4;2;2;1;2;7;0;0;0
1000015;1A;0;1;10;1;2;2;0;0;5;1;0;0
1000016;1A;2;3;3;5;1;0;0;1;1;4;1;1
1000017;1A;4;2;9;7;2;1;0;0;7;8;1;2
1000018;1A;7;3;6;1;0;1;1;4;4;6;0;1
1000019;1A;8;0;0;4;2;0;0;4;1;7;1;2
1000020;1A;7;1;9;5;0;2;1;1;4;1;1;2
1000021;1A;2;3;9;7;1;1;0;4;8;5;1;0
1000022;1A;2;3;5;8;1;2;1;2;7;4;1;0
1000023;1A;2;3;3;0;0;1;0;0;5;1;0;2
1000024;1A;10;1;3;8;0;0;0;4;0;6;1;2
1000025;1A;7;0;6;1;2;2;1;1;5;3;1;2
1000026;1A;0;3;7;4;2;2;0;4;0;4;0;1
