Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;9;8;3;2;4;1;6;7;1;7;2;6;1;5;1;4;7;6
1000001;1A;4;6;3;1;1;1;1;7;0;4;0;6;0;4;0;4;7;2
1000002;1A;8;7;1;0;1;1;6;3;1;2;2;5;1;4;0;3;2;1
1000003;1A;1;3;3;2;3;1;4;1;0;6;2;3;1;4;0;1;5;1
1000004;1A;9;7;0;2;2;0;2;4;1;3;1;1;0;4;1;2;2;2
1000005;1A;4;5;3;1;0;1;2;0;1;2;1;0;1;4;0;2;1;3
1000006;1A;2;6;0;2;1;0;2;6;1;6;1;5;1;5;1;3;2;2
1000007;1A;6;2;3;0;2;1;3;0;1;2;0;3;1;3;0;0;5;1
1000008;1A;7;4;0;0;2;0;1;0;0;2;2;5;1;1;0;3;1;0
1000009;1A;3;7;0;1;1;1;0;4;1;2;2;0;1;0;0;3;6;5
1000010;1A;7;5;3;1;1;0;4;2;1;5;1;6;0;5;0;3;6;4
1000011;1A;2;7;0;0;3;1;4;7;1;6;0;1;0;2;1;4;5;6
1000012;1A;3;3;3;0;4;0;1;3;1;4;0;0;0;2;0;0;7;3
1000013;1A;1;4;1;1;2;0;3;3;1;6;1;2;1;3;0;0;4;5
1000014;1A;6;5;0;0;1;0;1;4;0;3;2;0;1;5;0;1;3;0
1000015;1A;3;5;1;0;1;1;4;3;1;6;2;1;0;4;0;4;2;1
1000016;1A;6;1;1;1;4;1;0;3;0;6;2;4;1;5;1;4;0;3
1000017;1A;8;3;0;0;2;1;5;4;0;3;0;4;1;0;0;2;0;5
1000018;1A;4;6;3;1;0;1;0;0;0;7;2;1;1;5;1;0;2;5
1000019;1A;6;8;1;0;4;0;1;3;1;2;0;1;1;4;1;4;3;2
1000020;1A;4;8;2;2;3;1;4;2;0;0;0;4;0;4;1;0;3;3
1000021;1A;9;6;0;1;3;0;6;6;1;1;2;2;1;4;0;3;4;1
1000022;1A;9;7;1;0;1;0;2;1;1;6;0;3;0;0;1;0;4;3
1000023;1A;3;5;3;2;4;1;3;0;1;3;1;0;1;2;1;0;2;5
1000024;1A;3;6;0;1;1;0;5;1;0;5;1;0;0;0;0;4;1;2
1000025;1A;5;3;0;1;4;1;5;5;0;0;2;3;1;2;0;4;6;6
1000026;1A;5;5;1;1;2;0;6;2;1;3;1;5;0;5;0;4;4;4
1000027;1A;6;4;1;0;0;0;0;3;1;1;0;0;1;4;0;2;5;1
1000028;1A;6;0;2;2;1;1;1;3;1;5;1;5;1;2;1;0;0;6
1000029;1A;5;3;1;1;2;0;2;1;1;4;0;6;1;5;1;1;2;5
