Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;9;4;4;3;7;10;7;4;4;3;2;3;2;6;5
1000001;1A;1;4;2;3;5;8;4;3;0;3;1;1;1;3;5
1000002;1A;2;0;4;0;3;5;0;0;4;2;1;2;0;4;5
1000003;1A;0;2;4;3;5;6;2;1;2;0;1;2;1;3;1
1000004;1A;1;1;2;0;7;10;3;4;0;1;2;0;0;3;5
1000005;1A;4;4;0;3;0;0;7;3;4;0;1;2;2;2;4
1000006;1A;6;4;4;2;2;0;7;3;2;0;1;1;2;1;5
1000007;1A;8;2;3;3;5;1;3;1;4;2;0;3;0;1;2
1000008;1A;6;3;3;3;7;8;7;0;1;1;1;3;2;5;3
1000009;1A;8;4;2;3;7;6;5;1;3;0;1;0;0;2;2
1000010;1A;1;0;2;2;6;7;0;2;2;0;0;3;0;5;1
1000011;1A;2;0;3;3;7;0;7;3;0;0;0;2;2;3;0
1000012;1A;8;3;2;3;5;10;4;0;0;0;2;1;2;6;5
1000013;1A;4;3;2;3;7;10;2;1;3;1;0;0;2;4;5
1000014;1A;5;0;1;0;6;2;0;0;1;3;1;2;0;2;3
1000015;1A;1;3;2;0;5;6;3;4;4;2;1;1;1;1;1
1000016;1A;7;4;1;3;1;10;5;0;0;1;1;0;2;3;2
1000017;1A;6;1;4;3;7;8;2;0;1;1;2;0;2;6;3
