Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;9;8;8;9;10;4;7;7;5;10;10;8
1000001;1A;9;1;3;4;3;1;5;2;0;7;10;6
1000002;1A;9;2;6;6;3;4;3;4;3;10;1;1
1000003;1A;2;2;2;8;6;0;7;4;2;5;0;0
1000004;1A;7;8;8;1;2;4;3;1;5;7;10;2
1000005;1A;8;7;5;3;1;2;3;6;2;6;9;3
1000006;1A;0;6;8;9;2;3;2;0;0;3;1;1
1000007;1A;6;6;5;0;2;0;3;3;0;8;10;6
1000008;1A;3;4;4;2;9;3;1;0;4;10;1;0
1000009;1A;5;3;6;8;6;1;6;3;0;2;0;6
1000010;1A;7;0;3;8;2;1;1;4;3;10;7;5
1000011;1A;5;4;1;6;10;1;6;4;4;6;6;3
1000012;1A;5;7;2;8;7;1;4;1;3;9;3;6
1000013;1A;9;7;5;0;0;3;7;2;1;0;4;5
1000014;1A;2;3;5;6;10;0;2;1;5;0;1;1
1000015;1A;8;3;8;2;10;4;5;3;1;1;2;1
1000016;1A;0;5;6;6;8;1;1;0;4;1;0;8
1000017;1A;5;3;6;1;4;4;5;0;3;6;9;4
1000018;1A;7;1;1;8;4;0;3;6;3;2;0;7
1000019;1A;3;7;5;8;0;3;5;7;2;8;4;3
1000020;1A;6;3;2;9;8;2;0;3;1;5;9;2
1000021;1A;3;0;5;1;8;4;3;0;5;2;6;8
1000022;1A;4;3;4;6;7;3;3;5;3;2;10;4
1000023;1A;1;8;5;4;4;0;0;4;0;8;9;4
1000024;1A;3;5;4;9;10;1;4;7;5;3;2;7
1000025;1A;4;0;2;4;8;0;1;7;3;3;4;0
1000026;1A;7;0;4;7;8;1;0;4;0;6;0;0
1000027;1A;5;2;8;5;2;1;5;1;5;0;9;1
1000028;1A;6;6;1;9;3;2;0;7;5;1;5;6
