Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;9;10;4;8;6;10;9;8;7;4;10;8;2;2;5;2;10
1000001;1A;1;9;2;4;6;0;5;7;3;5;0;10;5;2;0;4;0;6
1000002;1A;3;4;8;0;5;0;6;6;1;4;2;3;6;1;2;5;2;5
1000003;1A;4;3;7;4;7;0;10;8;4;1;1;6;0;2;1;2;1;3
1000004;1A;2;5;0;4;2;6;2;7;8;4;3;3;8;2;2;4;0;8
1000005;1A;3;4;2;1;1;3;8;7;3;4;4;10;2;2;2;0;0;3
1000006;1A;1;5;8;2;8;5;10;7;8;6;4;1;0;0;2;0;1;2
1000007;1A;2;8;2;2;6;5;2;9;6;0;1;8;7;0;2;0;0;1
1000008;1A;0;8;0;3;6;3;2;7;1;1;0;9;7;2;0;3;0;5
1000009;1A;2;3;9;0;1;4;1;2;3;3;1;10;8;1;1;4;0;8
1000010;1A;0;2;5;1;1;5;4;1;1;0;0;7;7;1;0;5;1;2
1000011;1A;1;4;4;3;2;4;2;1;7;0;2;0;1;2;1;3;0;5
1000012;1A;3;2;9;4;3;2;2;5;8;0;1;3;0;2;0;4;0;5
1000013;1A;1;7;6;2;2;6;1;4;3;2;2;2;6;0;0;3;1;1
1000014;1A;2;1;3;3;2;1;1;6;5;6;0;4;2;1;0;5;2;3
1000015;1A;3;7;2;3;4;4;9;5;5;1;2;9;5;2;0;2;0;1
1000016;1A;4;5;1;3;2;6;0;9;7;1;2;2;1;1;1;4;1;10
1000017;1A;3;6;7;2;5;5;4;6;4;4;2;2;3;2;2;3;1;9
1000018;1A;1;6;0;2;8;2;5;9;3;2;2;7;0;2;2;5;2;2
1000019;1A;0;8;1;0;1;6;10;3;5;0;3;0;3;1;0;3;1;0
1000020;1A;1;7;7;2;6;5;6;9;4;1;2;9;4;1;1;3;2;10
1000021;1A;4;9;7;1;3;5;6;8;2;5;3;5;2;1;0;4;0;8
1000022;1A;4;5;1;1;1;1;9;6;8;6;2;0;4;0;1;4;0;1
