Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;5;1;6;6;6;6;8;3;4;10;8
1000001;1A;5;2;0;5;3;2;4;1;2;4;7;4
1000002;1A;7;2;0;5;1;0;4;8;2;2;2;4
1000003;1A;0;0;0;2;4;6;2;0;1;4;6;5
1000004;1A;3;4;1;2;0;2;3;1;0;2;3;6
1000005;1A;1;4;1;3;0;2;5;1;1;0;5;4
1000006;1A;7;5;1;2;5;2;4;0;2;2;0;5
1000007;1A;6;4;1;0;2;4;2;2;0;4;1;0
1000008;1A;0;2;1;1;2;1;5;8;2;3;4;0
1000009;1A;7;1;0;1;3;0;0;7;1;3;7;2
1000010;1A;5;2;0;0;0;6;4;8;2;4;2;4
1000011;1A;7;1;1;1;3;1;1;7;0;1;3;1
1000012;1A;2;3;0;2;5;5;2;4;0;2;8;1
1000013;1A;2;2;1;5;4;1;6;8;1;2;2;0
1000014;1A;8;0;1;4;0;6;4;1;1;2;3;7
1000015;1A;1;1;0;1;3;4;5;0;2;3;9;7
1000016;1A;0;2;0;0;3;5;0;4;1;2;2;4
1000017;1A;6;1;1;4;0;1;4;6;0;1;6;2
1000018;1A;6;1;1;3;5;1;4;3;3;3;4;6
1000019;1A;0;3;1;3;5;0;0;4;0;0;10;8
