Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;5;9;4
1000001;1A;0;9;3
1000002;1A;4;3;0
1000003;1A;2;5;0
1000004;1A;4;3;2
1000005;1A;0;6;2
1000006;1A;2;1;4
1000007;1A;4;9;0
1000008;1A;2;9;1
1000009;1A;0;0;2
1000010;1A;0;5;3
1000011;1A;1;0;3
1000012;1A;1;7;0
1000013;1A;3;9;3
1000014;1A;3;4;4
1000015;1A;0;7;1
1000016;1A;1;2;3
1000017;1A;2;1;0
1000018;1A;2;4;1
1000019;1A;2;3;2
1000020;1A;3;6;0
1000021;1A;4;7;2
1000022;1A;1;2;2
1000023;1A;3;7;3
1000024;1A;2;2;0
1000025;1A;2;6;1
1000026;1A;0;2;1
