Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;5;8;9
1000001;1A;2;3;1
1000002;1A;3;6;4
1000003;1A;4;6;7
1000004;1A;0;7;6
1000005;1A;4;1;2
1000006;1A;4;1;6
1000007;1A;5;5;0
1000008;1A;0;3;6
1000009;1A;0;6;7
1000010;1A;3;6;2
1000011;1A;4;4;8
1000012;1A;2;1;1
1000013;1A;0;2;6
1000014;1A;4;8;9
1000015;1A;5;2;9
1000016;1A;2;3;1
1000017;1A;1;2;0
1000018;1A;1;3;8
1000019;1A;4;1;3
1000020;1A;0;7;5
1000021;1A;2;7;0
1000022;1A;1;3;3
1000023;1A;5;1;4
1000024;1A;0;4;3
1000025;1A;2;6;8
1000026;1A;0;7;2
1000027;1A;2;2;6
1000028;1A;1;3;2
1000029;1A;2;7;9
1000030;1A;2;7;3
1000031;1A;5;0;3
1000032;1A;4;4;0
1000033;1A;0;8;4
1000034;1A;4;4;4
1000035;1A;4;6;8
1000036;1A;2;0;1
1000037;1A;3;8;8
