Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;8;8;10;7;9;8
1000001;1A;8;6;5;3;8;1
1000002;1A;0;8;3;4;0;1
1000003;1A;5;8;9;2;2;6
1000004;1A;2;6;3;6;5;7
1000005;1A;8;6;2;2;0;7
1000006;1A;7;3;5;7;7;7
1000007;1A;6;7;1;2;4;0
1000008;1A;8;0;1;7;0;8
1000009;1A;1;2;8;0;9;2
1000010;1A;8;1;3;7;0;0
1000011;1A;4;0;8;4;2;8
1000012;1A;1;6;8;2;7;8
1000013;1A;4;5;5;2;3;1
1000014;1A;5;4;3;3;0;3
1000015;1A;3;2;7;3;4;6
1000016;1A;2;2;3;7;0;1
1000017;1A;7;7;5;1;4;5
1000018;1A;1;6;8;1;0;0
1000019;1A;1;0;4;1;5;7
1000020;1A;2;7;6;4;1;1
1000021;1A;2;0;3;4;3;4
1000022;1A;1;4;6;4;7;2
1000023;1A;2;7;10;5;1;4
1000024;1A;8;2;7;6;6;4
1000025;1A;8;1;2;3;8;8
1000026;1A;0;8;5;2;4;2
1000027;1A;5;3;2;5;9;2
1000028;1A;1;5;1;1;2;1
1000029;1A;3;1;3;1;4;5
1000030;1A;1;4;2;2;2;7
1000031;1A;4;4;2;2;4;7
1000032;1A;4;0;6;1;3;1
1000033;1A;3;5;10;3;9;6
1000034;1A;0;0;7;0;6;2
1000035;1A;7;4;2;1;7;6
1000036;1A;7;1;8;0;1;2
1000037;1A;4;7;2;5;4;6
1000038;1A;6;2;7;1;5;8
1000039;1A;6;5;2;5;3;3
1000040;1A;5;7;0;3;2;0
1000041;1A;7;1;2;2;7;2
1000042;1A;8;7;10;6;8;6
