Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;1;3;9;1;2;2;4;3;7;4;1;6
1000001;1A;1;3;3;0;2;1;0;3;5;2;0;0
1000002;1A;1;0;4;1;0;2;4;1;3;1;1;0
1000003;1A;1;3;7;1;2;0;1;1;3;2;1;1
1000004;1A;0;2;1;1;2;2;4;0;3;0;1;6
1000005;1A;0;1;5;0;0;2;3;1;7;1;0;1
1000006;1A;0;1;5;1;2;0;1;2;4;3;0;6
1000007;1A;0;0;5;1;0;2;3;3;3;4;0;3
1000008;1A;0;1;6;1;1;0;0;2;0;3;1;3
1000009;1A;0;1;0;0;1;2;0;3;4;1;1;1
1000010;1A;0;1;0;1;1;0;2;3;1;2;1;2
1000011;1A;1;0;1;0;1;1;0;3;6;1;0;5
1000012;1A;1;0;6;1;2;0;0;2;4;0;0;3
1000013;1A;0;3;3;1;1;2;4;2;6;2;0;3
1000014;1A;0;0;4;1;1;1;4;0;1;2;1;0
1000015;1A;0;0;5;1;1;1;4;2;3;1;0;1
1000016;1A;0;3;1;0;1;0;1;3;0;1;1;5
1000017;1A;0;1;1;0;1;0;0;1;1;2;0;0
1000018;1A;0;0;1;1;0;1;4;1;0;4;1;6
1000019;1A;1;3;3;1;0;0;2;2;7;2;1;4
1000020;1A;1;3;5;0;2;0;0;0;6;3;1;4
1000021;1A;1;1;0;0;1;2;2;1;0;0;0;3
