Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;7;1;3;8;7;6;2;9;1
1000001;1A;7;0;1;5;7;6;1;7;0
1000002;1A;1;1;2;7;6;6;2;0;0
1000003;1A;3;1;1;8;4;3;2;9;0
1000004;1A;0;1;3;2;1;4;1;3;0
1000005;1A;5;0;1;5;2;4;1;7;1
1000006;1A;4;0;2;6;7;5;0;1;0
1000007;1A;0;0;2;5;4;4;1;2;1
1000008;1A;5;0;2;7;6;4;0;4;0
1000009;1A;7;1;1;2;0;6;0;3;0
1000010;1A;7;0;0;8;1;5;1;4;1
1000011;1A;5;0;2;0;0;3;2;7;0
1000012;1A;2;1;2;5;6;5;1;1;0
1000013;1A;5;0;3;8;4;6;0;0;0
1000014;1A;5;1;2;4;6;1;0;8;0
