Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;7;6;1;7;10;10;6;2;1;10;9;8
1000001;1A;1;4;0;6;7;9;0;2;1;7;0;4
1000002;1A;0;5;1;6;8;6;3;0;1;6;7;6
1000003;1A;0;4;1;6;5;8;2;2;1;4;7;1
1000004;1A;6;0;0;7;2;9;6;1;1;7;9;5
1000005;1A;0;1;1;3;10;7;4;1;0;3;9;3
1000006;1A;4;6;1;6;7;3;0;2;0;9;3;0
1000007;1A;4;2;1;6;8;3;2;2;1;2;8;0
1000008;1A;0;3;0;4;7;6;1;2;1;9;8;1
1000009;1A;1;2;0;2;9;0;4;1;1;5;4;7
1000010;1A;2;6;1;6;1;4;0;2;0;9;1;5
1000011;1A;1;4;0;5;3;9;1;1;1;3;1;1
1000012;1A;1;6;0;5;3;2;5;2;1;0;4;8
1000013;1A;2;3;1;0;5;4;2;2;1;7;8;7
1000014;1A;6;3;1;7;8;7;3;1;0;7;2;4
1000015;1A;3;6;1;3;2;7;4;2;0;2;2;1
1000016;1A;2;3;0;3;10;3;4;0;1;5;9;3
1000017;1A;1;5;1;4;9;1;4;2;0;4;2;1
1000018;1A;6;3;0;0;10;5;6;2;1;10;0;1
1000019;1A;4;3;1;1;3;2;4;0;1;9;5;8
1000020;1A;3;3;0;6;4;2;1;0;1;3;0;7
1000021;1A;4;4;0;0;2;10;6;0;0;5;2;5
1000022;1A;7;2;1;3;3;9;0;1;0;5;6;1
1000023;1A;7;3;0;7;0;9;5;0;1;7;5;2
1000024;1A;0;2;1;7;1;2;6;2;1;0;1;4
1000025;1A;4;1;0;4;1;1;4;2;1;2;0;1
1000026;1A;0;5;0;6;1;8;4;1;1;2;6;6
1000027;1A;1;5;0;0;2;10;4;0;1;1;0;5
1000028;1A;6;3;1;7;7;6;5;0;0;5;5;4
1000029;1A;2;3;1;0;8;0;4;2;0;1;8;0
1000030;1A;6;0;1;0;6;1;6;2;0;5;0;6
1000031;1A;7;5;0;0;10;10;0;0;1;6;9;4
1000032;1A;6;5;1;5;10;8;5;2;0;2;9;2
1000033;1A;1;3;1;2;10;2;6;2;0;1;0;8
1000034;1A;0;3;1;2;2;9;2;1;1;3;9;1
1000035;1A;2;5;0;7;9;2;5;1;0;5;3;0
1000036;1A;0;4;1;2;0;9;4;1;1;6;6;2
1000037;1A;1;2;0;5;9;3;6;2;0;8;6;5
1000038;1A;7;6;1;3;3;3;0;2;0;3;0;1
1000039;1A;1;1;0;6;9;4;4;2;1;7;8;3
1000040;1A;7;5;0;3;7;2;3;1;0;5;4;2
1000041;1A;0;3;1;5;9;1;4;1;0;9;9;4
1000042;1A;4;1;0;4;6;6;4;0;1;6;6;2
1000043;1A;2;3;0;2;7;3;5;0;0;8;5;3
1000044;1A;2;1;0;3;1;9;6;0;0;10;0;1
1000045;1A;3;3;0;5;9;5;1;2;1;9;0;0
1000046;1A;6;1;1;1;4;7;3;0;1;8;1;5
1000047;1A;2;3;0;5;5;4;0;0;0;6;5;1
1000048;1A;5;4;0;7;8;2;1;1;1;3;6;1
