Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;8;5;4;3;3;4;8;5;9
1000001;1A;1;4;0;3;0;4;0;0;7
1000002;1A;0;3;2;2;0;3;4;3;9
1000003;1A;3;0;3;3;0;0;1;0;7
1000004;1A;3;1;2;0;1;4;0;5;8
1000005;1A;5;4;2;2;1;2;2;5;6
1000006;1A;4;0;3;1;2;1;4;4;1
1000007;1A;7;4;4;2;3;0;0;3;8
1000008;1A;4;3;2;1;2;0;6;4;4
1000009;1A;8;0;3;2;3;0;4;0;6
1000010;1A;4;2;3;0;1;2;0;3;2
1000011;1A;7;3;4;2;1;0;2;3;1
1000012;1A;6;5;1;0;0;3;3;4;6
1000013;1A;1;4;3;1;0;1;4;2;8
1000014;1A;4;5;0;3;1;2;6;1;3
1000015;1A;0;1;4;0;2;4;7;4;4
1000016;1A;6;5;4;0;1;3;4;3;6
1000017;1A;3;4;1;2;3;2;1;4;1
1000018;1A;7;3;2;2;0;4;4;1;3
1000019;1A;2;1;0;0;0;3;5;2;5
1000020;1A;6;2;2;3;3;4;5;3;5
1000021;1A;1;1;3;2;3;2;8;1;8
1000022;1A;6;5;0;0;2;2;8;2;9
1000023;1A;3;4;1;0;0;0;5;4;3
1000024;1A;6;1;2;2;1;0;3;1;7
1000025;1A;8;4;0;2;1;4;3;5;7
