Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;7;1;4;8;8;7;5;4;8;4;2;10;3;3;3
1000001;1A;5;0;4;3;4;7;2;1;1;1;1;8;3;0;0
1000002;1A;5;1;3;6;6;3;2;4;0;3;1;5;0;2;1
1000003;1A;7;0;1;2;5;7;3;2;4;4;1;4;0;0;1
1000004;1A;3;0;2;6;3;4;3;0;3;0;1;2;2;0;3
1000005;1A;4;0;3;6;0;7;1;0;7;2;2;4;2;3;1
1000006;1A;5;1;1;0;7;4;0;2;2;2;2;0;0;1;3
1000007;1A;0;1;1;6;5;0;3;4;1;3;1;3;0;2;3
1000008;1A;0;1;3;8;4;2;3;3;5;4;2;7;1;1;3
1000009;1A;7;0;1;5;6;3;4;4;1;0;1;9;3;0;1
1000010;1A;1;1;2;0;8;4;0;1;3;4;2;5;3;1;3
1000011;1A;5;0;4;2;6;2;3;0;5;1;1;2;0;2;3
1000012;1A;3;1;1;4;0;0;1;0;7;4;2;2;3;3;0
1000013;1A;2;1;2;2;7;1;0;4;1;0;1;10;1;3;2
1000014;1A;5;1;4;6;5;1;3;4;7;4;1;0;1;1;1
1000015;1A;6;0;1;7;7;3;0;0;5;3;0;0;2;1;3
1000016;1A;1;1;3;5;3;5;0;4;1;2;2;2;3;3;2
1000017;1A;3;1;0;7;3;5;3;0;2;4;2;0;3;0;1
1000018;1A;1;1;1;8;5;7;3;2;8;4;1;9;1;3;2
1000019;1A;2;1;3;6;8;1;0;1;3;1;0;4;2;3;3
1000020;1A;4;1;1;3;7;3;3;0;1;2;2;5;3;1;0
1000021;1A;6;0;4;5;2;5;0;0;6;3;2;9;3;3;1
1000022;1A;0;0;2;4;0;2;0;0;3;0;2;6;0;3;0
1000023;1A;4;0;2;6;8;1;2;3;3;2;1;9;3;1;2
1000024;1A;7;1;4;3;2;4;1;2;1;0;0;8;1;2;2
1000025;1A;4;0;1;4;8;6;0;1;3;0;0;0;2;0;1
1000026;1A;5;1;4;1;5;0;5;3;2;3;0;2;3;0;0
1000027;1A;5;0;0;7;8;7;4;2;2;4;1;6;1;3;1
1000028;1A;6;0;3;2;7;0;4;3;8;4;1;3;1;3;2
1000029;1A;6;0;0;1;2;7;4;1;5;2;0;3;3;0;0
1000030;1A;1;1;2;4;8;3;5;3;1;2;1;10;2;0;2
1000031;1A;6;0;1;5;6;7;0;4;1;0;1;0;0;3;0
1000032;1A;3;1;4;3;6;2;4;2;5;3;2;7;1;1;1
1000033;1A;4;1;1;3;8;5;2;0;7;2;0;9;1;2;3
1000034;1A;6;1;1;0;0;7;1;4;0;3;2;7;1;3;3
1000035;1A;3;1;3;8;6;5;5;1;5;2;2;2;3;2;3
1000036;1A;4;0;3;6;2;0;1;1;1;3;1;0;1;0;2
1000037;1A;7;0;3;3;5;6;1;1;4;4;2;9;0;1;2
1000038;1A;5;1;1;8;2;0;3;2;0;4;2;5;2;0;0
1000039;1A;7;1;1;3;5;1;4;0;1;1;1;7;0;0;2
