Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;5;5;8;3;7;6;6;7;9;4;7
1000001;1A;3;4;1;6;3;6;1;1;3;1;3;2
1000002;1A;4;5;1;3;1;3;4;6;0;4;2;1
1000003;1A;1;4;2;4;1;7;2;5;4;4;0;2
1000004;1A;0;0;1;6;1;5;5;0;6;6;0;2
1000005;1A;1;1;3;3;3;4;1;4;6;5;3;6
1000006;1A;3;0;1;6;0;3;0;2;5;1;0;1
1000007;1A;4;0;1;1;0;6;3;2;7;2;2;6
1000008;1A;0;4;5;4;3;7;2;2;3;3;3;5
1000009;1A;0;2;2;0;0;6;3;0;0;5;2;0
1000010;1A;1;3;2;8;2;3;0;1;2;2;4;7
1000011;1A;3;0;3;7;3;4;3;2;5;9;0;7
1000012;1A;1;2;1;8;2;7;5;0;7;1;4;6
1000013;1A;2;2;2;3;0;7;4;5;4;3;4;5
1000014;1A;2;1;1;2;1;3;1;4;0;3;0;2
1000015;1A;3;2;1;3;0;4;5;5;0;7;4;3
1000016;1A;1;1;0;7;2;0;6;1;4;6;0;7
1000017;1A;1;3;3;1;1;2;1;1;5;3;0;2
1000018;1A;1;1;4;4;2;5;2;0;4;4;4;0
1000019;1A;3;1;4;4;2;0;1;5;3;1;2;1
1000020;1A;1;5;3;5;1;1;2;2;6;4;0;5
1000021;1A;2;2;2;2;2;0;3;5;1;4;4;2
1000022;1A;4;2;5;5;2;7;3;0;3;6;3;1
1000023;1A;4;0;4;3;2;3;6;4;3;1;1;4
1000024;1A;0;5;3;8;0;4;4;4;1;6;0;5
1000025;1A;4;3;5;0;3;4;2;0;0;1;1;1
1000026;1A;3;1;0;1;1;2;5;1;7;9;0;4
1000027;1A;2;0;3;4;1;1;5;6;7;0;4;1
1000028;1A;4;1;4;4;1;3;0;1;7;3;1;3
1000029;1A;0;1;1;1;2;0;5;1;1;2;2;2
1000030;1A;0;0;2;6;0;2;6;4;4;4;4;7
1000031;1A;0;5;5;8;1;7;4;5;7;6;0;7
1000032;1A;4;3;1;2;1;7;5;5;1;4;4;3
1000033;1A;2;2;3;5;2;6;6;5;7;7;4;1
1000034;1A;0;4;0;4;2;5;0;0;7;0;4;3
1000035;1A;4;4;0;4;3;6;6;6;2;1;2;6
1000036;1A;2;2;3;2;0;6;1;1;2;7;2;2
1000037;1A;4;1;5;5;0;5;2;5;4;1;0;1
1000038;1A;3;3;0;0;0;7;1;4;1;7;1;3
1000039;1A;0;1;3;5;3;2;2;1;6;1;0;6
1000040;1A;4;0;3;4;2;0;2;0;1;4;2;6
1000041;1A;4;3;4;3;3;3;1;6;0;9;3;3
1000042;1A;0;1;3;8;3;5;4;1;7;6;0;2
