Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;9;8;8;10;10;8;9;3;5;9;3;6;4;10;1;6;5;8
1000001;1A;0;6;2;4;5;4;3;2;1;6;0;5;0;4;0;2;2;3
1000002;1A;8;1;6;1;1;1;4;1;0;8;2;2;4;5;1;0;2;2
1000003;1A;2;0;6;7;4;1;0;3;1;0;2;4;4;8;1;5;5;5
1000004;1A;3;8;4;10;5;8;2;1;0;2;1;4;3;7;0;6;2;7
1000005;1A;9;7;0;4;6;6;9;2;5;9;2;0;2;5;1;0;1;2
1000006;1A;1;5;6;8;8;4;6;2;1;7;3;5;4;2;0;6;4;8
1000007;1A;7;1;4;3;7;7;7;1;0;9;2;2;0;3;0;2;4;0
1000008;1A;4;7;7;7;9;8;3;1;2;8;3;1;3;10;0;6;2;1
1000009;1A;7;6;5;8;2;2;8;1;5;3;0;4;3;7;0;0;1;3
1000010;1A;7;0;6;2;4;7;5;2;1;0;1;0;4;4;0;4;2;6
1000011;1A;5;0;4;9;5;0;8;1;0;2;3;3;1;1;1;3;3;6
1000012;1A;4;1;2;1;6;6;5;1;4;2;3;5;4;0;1;6;5;7
1000013;1A;5;6;6;6;1;6;7;1;5;2;3;3;0;6;1;5;5;0
1000014;1A;6;1;3;7;5;8;3;2;2;9;3;3;2;7;1;0;0;4
1000015;1A;2;5;3;10;6;3;8;3;3;7;0;0;3;7;0;0;3;4
1000016;1A;1;6;5;9;9;7;3;1;4;1;3;3;3;4;1;1;2;3
1000017;1A;0;3;3;5;2;4;2;3;3;9;1;5;1;0;1;1;1;4
1000018;1A;3;3;2;2;9;3;3;2;5;8;0;0;3;8;0;5;1;3
