Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;3;2;9;9;3;5
1000001;1A;3;1;1;2;0;4
1000002;1A;1;2;1;9;2;2
1000003;1A;3;1;2;5;3;3
1000004;1A;1;0;2;6;1;3
1000005;1A;0;1;5;3;3;1
1000006;1A;1;2;8;4;2;2
1000007;1A;3;2;8;8;0;2
1000008;1A;1;2;0;5;0;1
1000009;1A;3;1;9;8;0;1
1000010;1A;3;1;4;3;0;1
1000011;1A;1;1;1;4;1;3
1000012;1A;3;1;2;8;2;5
1000013;1A;0;1;9;4;2;0
1000014;1A;1;0;4;2;1;0
1000015;1A;1;0;1;5;0;5
1000016;1A;0;2;3;2;3;1
1000017;1A;3;2;3;1;0;0
1000018;1A;0;0;6;3;3;3
1000019;1A;0;2;4;3;2;5
1000020;1A;1;2;5;1;2;4
1000021;1A;3;2;2;3;2;4
1000022;1A;3;1;6;2;2;3
1000023;1A;0;1;2;4;1;4
1000024;1A;3;2;0;9;0;5
1000025;1A;3;1;7;0;2;5
1000026;1A;1;1;8;7;1;3
1000027;1A;3;0;2;9;2;5
1000028;1A;1;2;9;5;0;0
1000029;1A;3;0;7;3;3;1
1000030;1A;2;0;3;4;1;0
1000031;1A;0;2;2;4;2;5
1000032;1A;1;2;4;9;2;1
1000033;1A;1;2;6;5;1;1
1000034;1A;1;2;7;1;2;1
1000035;1A;3;1;5;0;1;1
1000036;1A;1;1;9;1;0;3
1000037;1A;1;0;9;9;0;4
1000038;1A;3;0;3;2;0;3
1000039;1A;3;1;0;2;3;2
1000040;1A;0;2;8;8;1;1
1000041;1A;0;2;2;5;2;2
1000042;1A;2;0;2;4;2;4
1000043;1A;0;1;5;9;2;2
1000044;1A;2;1;1;0;3;0
1000045;1A;3;0;8;0;1;3
1000046;1A;2;0;2;4;3;5
1000047;1A;0;2;0;2;1;1
1000048;1A;1;1;2;6;2;3
