Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;1;2;2;7;1;10;7;7;9;1;9;5
1000001;1A;0;2;1;4;0;6;6;5;6;0;4;1
1000002;1A;0;1;2;0;0;9;6;6;4;1;3;0
1000003;1A;0;0;2;1;1;6;2;6;8;0;7;5
1000004;1A;1;1;2;7;0;1;4;7;4;1;0;2
1000005;1A;1;1;1;2;1;9;1;0;7;1;0;3
1000006;1A;0;2;0;3;0;6;4;7;6;0;5;2
1000007;1A;0;0;2;7;0;6;3;7;7;1;4;0
1000008;1A;1;0;0;3;0;2;1;5;3;0;8;1
1000009;1A;1;1;1;0;1;0;5;3;9;0;7;0
1000010;1A;1;2;1;5;1;3;2;6;5;0;8;5
1000011;1A;1;0;0;6;0;8;5;6;9;1;9;2
1000012;1A;0;0;1;4;0;7;1;5;8;1;0;5
1000013;1A;0;0;1;7;1;4;2;6;9;0;5;1
1000014;1A;1;2;1;6;1;8;3;0;0;1;2;0
1000015;1A;1;0;1;7;0;9;5;4;7;1;8;4
1000016;1A;1;1;0;0;1;5;6;7;3;1;1;1
1000017;1A;0;1;2;4;0;0;2;5;8;0;5;3
1000018;1A;1;0;1;3;1;8;7;4;2;0;8;2
1000019;1A;1;0;0;2;0;7;4;6;3;1;7;0
1000020;1A;0;1;1;7;1;1;0;0;7;0;5;1
1000021;1A;1;0;0;1;1;9;2;2;9;0;9;5
1000022;1A;1;0;0;0;0;9;1;5;9;0;1;5
1000023;1A;1;1;0;3;1;4;7;4;7;1;2;3
1000024;1A;1;1;0;5;1;4;4;6;6;0;5;4
1000025;1A;1;2;1;3;0;4;2;4;1;0;6;5
1000026;1A;0;0;1;7;1;0;0;1;6;0;0;0
