Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;9;2;3;5;9;6;10;5;8
1000001;1A;3;2;2;0;8;3;3;2;3
1000002;1A;4;0;0;5;0;1;1;0;5
1000003;1A;0;2;3;4;0;5;4;0;4
1000004;1A;7;2;0;3;0;0;3;3;1
1000005;1A;1;0;2;2;1;0;2;2;6
1000006;1A;5;0;2;5;1;0;4;5;1
1000007;1A;4;2;3;1;0;5;7;5;8
1000008;1A;7;2;2;2;9;0;6;3;4
1000009;1A;6;2;3;3;1;4;6;1;3
1000010;1A;5;0;3;5;3;4;8;5;8
1000011;1A;2;0;0;3;5;2;8;2;6
1000012;1A;1;1;1;0;3;3;8;2;3
1000013;1A;2;2;1;2;6;5;1;5;4
1000014;1A;9;0;2;2;5;1;3;4;3
1000015;1A;5;0;1;2;0;2;8;2;3
1000016;1A;1;2;1;3;9;2;9;3;2
1000017;1A;0;1;0;2;7;0;2;0;6
1000018;1A;4;2;1;2;3;2;3;5;0
1000019;1A;7;0;3;0;0;5;2;4;8
1000020;1A;0;2;2;5;2;3;1;0;0
1000021;1A;7;0;3;5;3;6;7;0;0
1000022;1A;8;0;3;3;8;6;9;5;5
1000023;1A;8;2;0;3;4;4;2;3;3
