Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3;9.1;9.2;9.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;5;5;1;6;10;4;1;9;1;5;10;8;10;2;7;8;9;6;8;9;4;10;5;9;4;1;8
1000001;1A;4;5;1;0;8;0;1;3;0;1;8;0;10;2;5;6;1;6;7;6;3;5;1;3;0;1;6
1000002;1A;1;1;1;0;1;1;1;0;0;0;9;4;6;2;2;4;9;2;6;9;2;10;3;8;3;1;6
1000003;1A;5;1;1;4;10;0;0;6;0;1;6;8;6;0;4;4;9;5;4;3;1;7;0;9;3;0;6
1000004;1A;2;0;1;2;2;2;0;3;0;0;6;4;3;0;5;1;9;0;4;8;3;9;4;7;0;0;7
1000005;1A;1;5;1;6;4;2;1;8;1;2;8;8;7;0;2;3;0;0;5;6;0;3;2;4;4;0;7
1000006;1A;0;2;0;3;0;0;0;1;0;4;5;0;1;0;0;1;1;0;5;9;3;8;0;9;4;0;7
1000007;1A;5;4;0;6;0;2;0;3;1;0;10;0;0;2;7;6;2;4;2;3;1;0;5;5;0;0;0
1000008;1A;1;3;1;4;4;1;0;3;0;2;10;1;8;2;0;8;4;2;0;5;1;10;5;2;0;1;2
1000009;1A;5;2;1;1;3;3;1;9;1;0;2;6;5;1;6;0;4;5;1;2;0;0;3;3;0;0;0
1000010;1A;2;2;0;5;7;2;1;6;1;5;2;4;4;0;7;4;6;4;5;2;2;8;3;5;4;1;5
1000011;1A;4;0;0;1;10;0;1;6;0;5;0;0;6;2;5;7;4;2;3;4;3;0;5;0;1;0;0
1000012;1A;4;1;1;5;10;0;1;2;1;0;9;5;10;2;2;4;6;4;0;9;0;2;2;1;4;1;0
1000013;1A;3;2;1;4;10;0;1;7;0;0;1;6;8;2;2;3;2;6;3;9;0;2;1;2;0;0;7
1000014;1A;5;1;1;5;6;0;0;8;0;2;1;4;4;2;6;6;0;0;2;0;2;1;3;7;0;1;1
1000015;1A;0;4;1;5;5;4;1;2;0;3;10;4;6;0;7;6;3;2;6;6;3;3;4;9;1;1;1
1000016;1A;2;0;1;0;10;4;1;8;1;0;9;1;8;1;0;0;7;3;2;3;1;2;0;3;0;1;5
1000017;1A;4;3;0;6;1;1;1;8;0;5;1;6;6;0;0;6;5;4;1;2;2;2;2;1;1;1;5
1000018;1A;5;0;0;0;10;0;1;2;0;4;1;0;4;1;7;8;4;0;2;3;1;0;3;0;1;0;1
