Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;6;7;8;5;4;2;10;4;5;1;5;10;10;8;1;1;2;2
1000001;1A;3;0;4;2;4;2;4;4;3;0;5;3;4;6;1;0;2;0
1000002;1A;2;0;2;1;4;1;7;1;2;0;5;3;1;5;1;1;1;0
1000003;1A;1;7;7;1;4;1;9;2;2;0;0;3;9;0;0;0;2;2
1000004;1A;6;3;7;2;1;2;7;0;4;1;5;6;2;2;1;1;2;1
1000005;1A;1;4;0;5;3;0;2;3;1;1;0;2;7;4;0;1;1;0
1000006;1A;0;3;4;0;2;0;0;2;1;0;3;8;6;0;1;1;2;0
1000007;1A;3;3;8;1;2;0;0;4;1;1;5;5;4;8;0;1;2;2
1000008;1A;6;6;1;1;3;1;10;1;5;1;2;2;5;6;0;0;1;0
1000009;1A;6;4;1;1;3;2;4;4;5;0;5;5;7;6;0;0;1;0
1000010;1A;5;3;1;0;4;2;1;1;5;1;3;3;5;6;0;1;2;1
1000011;1A;2;7;1;4;3;0;5;1;1;1;0;3;8;6;0;1;0;0
1000012;1A;5;1;6;1;3;0;0;2;4;1;0;7;3;5;0;1;1;0
1000013;1A;0;4;7;5;1;1;5;1;4;1;4;9;1;3;0;0;0;0
1000014;1A;3;0;2;3;4;2;5;3;0;1;0;7;6;0;0;1;1;2
1000015;1A;6;2;0;4;2;0;9;3;0;0;4;7;8;4;1;1;0;0
