Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;6;2;10;3;7;10;7;8;6;8;5
1000001;1A;4;2;0;0;3;0;1;0;6;5;5;5
1000002;1A;4;3;2;4;2;2;8;6;0;1;7;1
1000003;1A;3;6;0;10;3;6;4;4;4;6;6;0
1000004;1A;3;2;1;8;3;2;0;1;7;0;8;5
1000005;1A;2;4;0;5;2;2;5;1;7;1;0;1
1000006;1A;1;5;1;6;3;6;5;1;0;5;0;4
1000007;1A;4;3;2;5;1;6;4;6;2;3;8;5
1000008;1A;0;4;2;8;3;5;7;4;7;4;0;3
1000009;1A;1;5;2;8;0;7;2;7;5;0;4;3
1000010;1A;0;3;2;10;1;1;0;5;7;2;7;2
1000011;1A;4;4;0;4;2;1;6;5;5;4;5;2
1000012;1A;1;4;0;6;1;0;7;6;2;5;3;2
1000013;1A;1;1;1;1;1;2;9;5;2;3;8;4
1000014;1A;0;4;1;5;2;1;9;3;3;2;4;2
1000015;1A;3;1;1;0;1;7;4;5;5;0;0;4
1000016;1A;2;6;2;4;2;3;5;2;4;1;0;0
1000017;1A;3;0;2;10;1;2;3;7;2;0;3;4
1000018;1A;4;0;0;5;3;0;2;4;3;3;7;3
1000019;1A;4;6;0;0;1;1;7;6;0;0;3;2
1000020;1A;4;6;0;2;1;4;10;1;0;3;3;1
1000021;1A;0;2;2;9;3;1;10;3;3;0;5;4
1000022;1A;1;6;1;9;3;1;2;4;0;6;8;3
1000023;1A;4;1;0;3;2;2;7;3;5;6;6;0
1000024;1A;4;1;0;5;1;1;8;3;5;6;1;1
1000025;1A;0;1;1;10;1;7;1;1;0;1;4;2
1000026;1A;3;2;1;9;3;2;5;2;1;3;8;2
1000027;1A;1;5;1;0;2;3;3;1;6;3;2;3
1000028;1A;3;1;0;7;0;0;7;2;8;1;4;5
1000029;1A;3;5;0;10;3;2;2;0;6;6;2;1
