Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;7;7;10;7;9;1
1000001;1A;2;4;10;5;8;0
1000002;1A;2;3;1;5;3;0
1000003;1A;1;1;1;5;4;1
1000004;1A;7;0;10;5;4;1
1000005;1A;6;7;0;7;1;1
1000006;1A;0;5;6;5;2;1
1000007;1A;4;0;7;6;5;1
1000008;1A;4;5;1;1;8;0
1000009;1A;7;5;8;0;1;0
1000010;1A;0;7;2;1;3;1
1000011;1A;5;4;0;7;3;0
1000012;1A;3;7;7;1;7;0
1000013;1A;4;5;0;1;5;0
1000014;1A;2;5;7;4;3;1
1000015;1A;6;6;7;2;8;1
1000016;1A;1;3;9;7;6;1
1000017;1A;4;3;5;4;3;1
1000018;1A;2;6;9;0;9;0
1000019;1A;0;5;3;2;3;1
1000020;1A;4;4;1;0;5;0
1000021;1A;2;0;2;0;1;1
1000022;1A;4;6;4;2;0;1
1000023;1A;0;0;0;5;4;0
1000024;1A;0;0;0;4;7;1
1000025;1A;7;7;8;5;6;1
1000026;1A;4;0;7;0;6;1
1000027;1A;5;2;2;4;5;0
1000028;1A;7;4;6;6;5;1
1000029;1A;0;3;4;4;0;0
