Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;7;5;4;1;2;9;7;6;4
1000001;1A;3;5;0;0;0;7;5;0;4
1000002;1A;5;0;1;1;2;6;2;0;2
1000003;1A;4;0;0;0;0;2;3;3;4
1000004;1A;6;5;4;0;0;9;5;5;2
1000005;1A;4;2;3;0;1;5;6;4;2
1000006;1A;7;5;0;0;2;0;7;5;2
1000007;1A;6;4;1;1;0;0;6;1;1
1000008;1A;7;1;2;0;2;9;6;0;2
1000009;1A;3;4;2;1;1;1;1;2;4
1000010;1A;7;1;1;1;0;5;6;0;2
1000011;1A;5;4;2;0;1;9;3;4;2
1000012;1A;4;2;4;1;0;9;6;3;0
1000013;1A;2;2;3;0;1;5;6;6;1
1000014;1A;5;4;2;1;2;8;0;2;3
1000015;1A;7;1;3;0;0;5;0;0;3
1000016;1A;1;3;3;1;1;4;4;5;3
1000017;1A;2;4;3;0;2;2;1;3;1
1000018;1A;7;4;2;1;1;8;4;5;2
1000019;1A;1;0;2;1;2;6;0;2;4
1000020;1A;1;5;0;0;0;9;0;5;3
1000021;1A;1;1;3;1;0;1;1;6;4
