Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;10;4;2;6;2;7;5;5;9;9;10;5
1000001;1A;9;0;0;3;2;0;1;4;0;3;9;2
1000002;1A;4;1;2;2;2;3;2;1;8;4;0;3
1000003;1A;7;2;0;0;1;3;2;4;5;0;2;1
1000004;1A;2;2;0;5;2;4;3;4;3;7;8;4
1000005;1A;5;3;0;6;2;3;0;3;5;9;3;0
1000006;1A;10;3;2;2;2;6;1;2;5;2;5;4
1000007;1A;0;2;1;5;1;4;4;2;9;5;3;4
1000008;1A;2;2;0;5;2;0;2;1;5;3;3;5
1000009;1A;2;1;1;6;2;7;2;0;1;4;7;4
1000010;1A;9;1;2;3;0;6;4;0;9;9;6;0
1000011;1A;7;0;2;3;2;6;5;3;9;5;8;3
1000012;1A;3;2;2;3;2;5;5;3;1;6;10;2
1000013;1A;9;0;0;3;1;0;1;3;4;9;6;4
1000014;1A;5;1;1;4;0;0;3;1;9;7;10;1
1000015;1A;6;1;2;5;2;1;0;5;9;6;6;3
1000016;1A;9;4;0;0;0;7;5;5;6;8;3;5
1000017;1A;0;1;0;2;0;6;1;2;0;5;4;0
1000018;1A;1;0;2;2;0;5;4;5;9;0;0;2
1000019;1A;9;4;0;1;2;7;3;0;0;2;6;3
1000020;1A;8;2;2;4;0;3;3;2;5;5;3;5
1000021;1A;4;0;0;2;2;3;4;2;4;7;7;3
1000022;1A;8;1;0;1;2;5;2;5;1;3;9;1
1000023;1A;10;1;1;5;2;1;2;0;9;2;4;2
1000024;1A;1;2;1;4;1;4;4;1;8;8;6;4
1000025;1A;6;4;1;6;2;5;2;2;5;5;0;0
1000026;1A;5;1;2;1;2;3;2;2;9;0;5;1
1000027;1A;9;1;1;4;2;6;5;4;4;1;4;4
1000028;1A;9;4;1;0;0;1;0;1;8;6;7;1
1000029;1A;3;1;1;0;1;2;5;5;4;5;3;5
