Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;5;4;7;8;10;9;10;8;3;2;3;7;4;5;8
1000001;1A;0;4;3;1;5;8;5;2;0;2;1;3;2;5;7
1000002;1A;0;3;4;5;10;1;7;2;1;0;2;5;4;5;1
1000003;1A;0;3;7;6;6;4;3;5;2;0;2;7;1;5;6
1000004;1A;4;2;7;0;7;3;1;8;0;2;1;6;1;2;6
1000005;1A;1;1;7;5;6;8;7;8;0;2;2;3;2;3;8
1000006;1A;4;2;7;5;1;2;1;8;1;2;3;6;3;1;4
1000007;1A;0;2;4;1;7;2;7;6;1;1;1;6;2;4;4
1000008;1A;1;3;7;0;10;2;4;8;2;2;0;5;1;3;1
1000009;1A;3;0;5;7;8;2;8;8;3;0;3;6;4;2;2
1000010;1A;0;4;0;3;5;9;0;1;3;0;3;0;0;5;1
1000011;1A;2;1;1;7;8;8;2;1;1;1;0;2;0;0;6
1000012;1A;5;0;1;5;1;9;9;7;0;0;2;3;4;2;2
1000013;1A;3;4;4;2;9;0;10;2;2;1;1;1;0;1;3
1000014;1A;1;2;7;7;9;8;8;0;2;0;0;2;0;2;1
