Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;2;6;10;3;2;10
1000001;1A;2;2;3;3;2;2
1000002;1A;2;3;8;3;1;6
1000003;1A;0;3;10;1;2;2
1000004;1A;2;1;0;1;0;0
1000005;1A;2;3;5;0;1;7
1000006;1A;0;4;2;2;0;0
1000007;1A;0;4;5;0;2;2
1000008;1A;0;2;1;0;1;8
1000009;1A;1;1;8;2;2;3
1000010;1A;0;6;4;0;0;5
1000011;1A;1;1;7;1;1;10
1000012;1A;1;3;4;3;2;7
1000013;1A;2;1;4;1;2;10
1000014;1A;2;4;1;3;2;2
1000015;1A;0;2;3;0;0;6
1000016;1A;1;3;6;1;2;9
1000017;1A;1;1;0;1;2;9
1000018;1A;0;4;3;3;1;5
1000019;1A;2;0;8;2;2;3
1000020;1A;1;0;6;0;0;1
1000021;1A;0;1;7;2;2;5
1000022;1A;2;2;2;3;2;1
1000023;1A;1;3;2;2;2;4
1000024;1A;0;4;10;3;0;5
1000025;1A;2;4;3;2;0;4
1000026;1A;1;2;9;0;0;0
1000027;1A;2;1;2;0;1;0
1000028;1A;2;5;7;0;0;0
1000029;1A;0;0;8;0;2;7
1000030;1A;1;3;8;3;0;5
1000031;1A;2;6;5;3;0;6
1000032;1A;1;6;0;2;1;7
1000033;1A;2;3;3;0;1;6
1000034;1A;1;6;3;0;2;2
1000035;1A;0;0;4;1;1;7
1000036;1A;2;6;2;1;1;9
1000037;1A;0;1;6;3;0;8
1000038;1A;0;3;4;0;0;0
1000039;1A;2;1;9;2;0;1
