Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;9;8;4;10;10;10;1;3;5;5;10;9;6;9;4;2;10;7
1000001;1A;7;8;0;3;6;10;0;0;5;1;9;2;6;1;3;0;1;4
1000002;1A;8;1;1;4;8;7;1;0;5;2;6;8;2;2;2;2;5;2
1000003;1A;7;0;3;2;1;0;1;2;2;5;3;3;6;7;3;1;8;2
1000004;1A;2;0;1;0;8;7;1;3;4;2;3;9;0;4;2;1;4;0
1000005;1A;0;2;4;2;8;6;0;2;1;2;5;1;4;5;3;0;4;0
1000006;1A;2;1;1;7;6;1;1;3;0;2;1;3;6;8;2;0;6;0
1000007;1A;9;1;0;1;2;8;1;3;1;5;1;3;0;4;2;2;7;1
1000008;1A;1;8;1;5;1;6;1;0;2;2;6;8;0;6;2;1;5;1
1000009;1A;8;7;2;2;5;10;1;0;5;4;7;0;1;6;3;0;7;3
1000010;1A;7;7;2;7;6;3;1;0;1;4;8;0;0;7;2;2;4;4
1000011;1A;7;8;2;2;10;1;1;1;5;2;4;0;6;7;4;0;6;2
1000012;1A;7;4;0;4;3;10;1;3;2;0;8;5;3;2;2;1;0;4
1000013;1A;3;6;2;4;1;3;0;1;2;1;8;3;2;5;1;1;4;2
1000014;1A;2;5;1;5;7;0;1;1;0;4;3;1;2;9;4;0;6;1
1000015;1A;0;2;4;8;10;5;0;1;0;5;2;2;3;0;3;2;2;4
1000016;1A;4;3;0;2;3;6;1;2;3;4;2;6;2;2;3;1;4;6
1000017;1A;9;6;3;2;8;5;0;2;1;2;10;5;3;3;0;2;0;2
1000018;1A;4;2;2;5;8;5;1;2;0;5;5;2;2;8;1;1;10;4
1000019;1A;0;6;2;9;7;6;1;3;2;2;9;9;5;9;3;0;10;2
1000020;1A;6;0;4;4;1;10;1;3;5;0;0;3;3;1;1;0;10;1
1000021;1A;5;0;0;10;1;7;1;0;4;4;7;6;2;4;0;1;9;4
1000022;1A;8;2;1;7;1;8;0;3;0;3;10;7;3;5;3;2;4;5
1000023;1A;9;0;3;6;3;2;0;0;3;1;6;3;4;9;4;2;1;7
1000024;1A;5;6;3;6;0;10;0;0;3;5;0;2;5;8;0;1;4;0
1000025;1A;9;5;4;1;2;2;1;0;0;4;2;9;3;4;4;0;6;7
