Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;4;10;10;3;10;5;1;1;5;9;3;10;8;5
1000001;1A;2;3;0;8;3;6;3;0;0;4;1;0;1;3;4
1000002;1A;3;1;0;9;1;1;3;1;0;0;1;0;10;7;5
1000003;1A;0;4;9;4;1;2;4;0;1;5;4;3;3;8;3
1000004;1A;3;1;4;1;2;6;0;0;0;2;7;2;4;7;1
1000005;1A;4;2;3;9;0;6;0;0;1;4;9;2;1;5;2
1000006;1A;4;4;9;5;1;10;2;0;0;4;2;0;5;1;5
1000007;1A;4;2;3;4;1;10;1;0;0;4;3;3;9;2;2
1000008;1A;3;3;8;4;3;6;2;0;1;1;3;0;8;7;0
1000009;1A;0;0;10;1;1;0;3;0;1;4;9;3;4;2;5
1000010;1A;4;4;5;6;2;2;2;0;1;5;9;0;6;0;5
1000011;1A;4;3;10;2;0;10;1;0;0;5;5;2;6;5;4
1000012;1A;1;2;4;2;3;0;5;0;0;2;8;1;1;2;4
1000013;1A;1;4;10;10;0;1;3;1;1;2;2;1;7;0;2
1000014;1A;0;3;5;4;1;8;1;1;1;3;2;1;0;0;5
1000015;1A;1;1;5;7;1;10;0;1;0;1;8;2;0;7;1
1000016;1A;4;1;7;2;3;4;3;0;0;0;6;0;1;1;2
1000017;1A;0;3;9;7;0;3;2;0;0;5;7;2;5;1;5
1000018;1A;3;1;6;6;0;7;3;1;1;5;8;2;9;0;5
1000019;1A;1;2;9;10;1;4;5;1;1;3;0;3;1;1;3
1000020;1A;4;4;7;2;2;3;5;1;1;0;5;2;4;4;3
1000021;1A;1;4;8;7;2;7;5;0;1;5;4;3;2;8;3
1000022;1A;3;2;6;6;1;0;0;0;1;4;9;1;0;2;0
1000023;1A;2;1;6;7;2;0;3;0;0;1;5;3;7;2;5
1000024;1A;0;4;2;7;1;5;3;0;0;4;1;3;4;7;4
