Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;8;10;2
1000001;1A;6;0;2
1000002;1A;8;4;0
1000003;1A;4;5;2
1000004;1A;2;7;2
1000005;1A;0;10;1
1000006;1A;5;7;2
1000007;1A;1;5;1
1000008;1A;0;5;0
1000009;1A;6;1;0
1000010;1A;7;9;0
1000011;1A;4;7;2
1000012;1A;4;6;2
1000013;1A;8;3;2
1000014;1A;4;1;2
1000015;1A;7;0;1
1000016;1A;3;8;0
1000017;1A;2;3;0
1000018;1A;2;9;2
1000019;1A;4;9;1
1000020;1A;1;4;2
1000021;1A;4;10;2
1000022;1A;4;0;0
1000023;1A;0;7;0
1000024;1A;8;8;0
1000025;1A;1;8;1
1000026;1A;0;5;0
1000027;1A;5;3;0
1000028;1A;5;4;0
1000029;1A;1;5;2
1000030;1A;6;4;1
1000031;1A;7;3;0
1000032;1A;7;7;1
1000033;1A;8;6;2
1000034;1A;5;5;1
