Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;5;6;9;1;5;8;1;2;10
1000001;1A;5;2;7;1;1;7;1;0;9
1000002;1A;2;6;1;0;0;8;1;2;2
1000003;1A;2;6;7;1;1;1;0;1;2
1000004;1A;1;6;7;1;2;6;1;2;3
1000005;1A;5;0;7;0;0;2;1;0;0
1000006;1A;0;6;4;0;0;5;1;1;7
1000007;1A;1;2;4;1;5;4;0;1;6
1000008;1A;2;5;9;1;0;2;1;0;1
1000009;1A;0;6;2;0;2;3;0;0;5
1000010;1A;0;6;4;0;4;0;1;2;8
1000011;1A;1;4;6;1;4;8;0;0;8
1000012;1A;2;2;9;1;2;8;1;0;0
1000013;1A;4;2;7;0;3;6;1;1;7
1000014;1A;1;4;4;1;5;1;0;1;0
1000015;1A;0;3;8;1;3;6;0;1;8
1000016;1A;4;6;8;1;0;8;0;2;5
1000017;1A;5;4;5;0;3;5;0;0;6
1000018;1A;5;2;4;1;4;0;0;2;0
1000019;1A;3;0;0;0;2;3;0;1;1
1000020;1A;3;4;7;1;1;6;1;0;1
1000021;1A;5;2;2;0;2;8;0;0;8
1000022;1A;1;0;5;0;5;2;1;0;8
1000023;1A;1;3;4;1;1;4;1;2;0
1000024;1A;1;4;1;1;3;2;0;2;8
1000025;1A;5;0;4;0;2;5;0;2;0
1000026;1A;2;2;2;1;2;2;1;1;7
1000027;1A;4;0;7;0;1;3;0;0;4
1000028;1A;0;1;3;1;2;5;1;1;0
1000029;1A;1;0;3;1;5;5;0;1;2
1000030;1A;1;2;4;0;5;0;0;2;9
1000031;1A;4;2;7;1;1;8;0;1;5
1000032;1A;1;0;3;0;0;8;1;2;6
1000033;1A;2;1;8;0;2;2;1;2;1
1000034;1A;4;2;1;0;2;6;1;1;10
1000035;1A;2;5;7;1;2;3;0;1;1
1000036;1A;4;3;3;0;1;2;1;2;10
1000037;1A;4;1;9;0;2;1;0;1;0
1000038;1A;3;3;8;0;0;0;1;1;10
1000039;1A;5;0;1;0;2;7;1;0;7
1000040;1A;2;4;3;0;3;7;1;2;3
1000041;1A;2;6;9;0;5;2;1;0;0
1000042;1A;4;1;3;1;1;1;1;2;7
1000043;1A;2;5;0;1;0;8;1;1;6
1000044;1A;4;3;9;0;4;0;1;0;4
1000045;1A;0;6;6;1;4;3;1;1;10
1000046;1A;4;3;0;1;5;4;1;2;5
1000047;1A;3;2;2;1;3;7;0;0;5
