Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;2;6;4;1;5;9;7;2;1
1000001;1A;0;3;4;0;3;2;1;1;0
1000002;1A;0;5;0;0;3;4;3;2;1
1000003;1A;2;0;4;1;2;5;0;2;0
1000004;1A;1;5;2;0;4;0;0;0;1
1000005;1A;0;1;4;0;2;0;7;2;0
1000006;1A;0;5;0;0;3;6;3;1;1
1000007;1A;2;0;2;1;4;9;4;1;1
1000008;1A;0;1;3;1;3;8;6;2;1
1000009;1A;0;5;2;1;2;9;4;0;1
1000010;1A;1;2;2;0;3;7;3;2;1
1000011;1A;1;4;4;1;1;7;0;1;0
1000012;1A;0;0;4;1;1;6;4;1;1
1000013;1A;1;4;1;1;5;8;7;0;0
1000014;1A;1;3;0;1;2;9;0;2;0
1000015;1A;2;6;4;1;5;4;4;1;0
1000016;1A;2;2;0;0;2;1;4;0;0
1000017;1A;0;5;2;1;0;4;4;0;0
1000018;1A;1;0;1;0;3;8;2;0;0
1000019;1A;1;2;3;0;3;6;1;1;1
1000020;1A;1;4;0;1;2;0;5;1;0
1000021;1A;0;4;1;0;5;0;4;1;1
1000022;1A;0;5;1;1;5;3;2;1;1
1000023;1A;0;5;3;1;5;1;1;1;0
1000024;1A;0;4;0;1;0;1;4;1;1
1000025;1A;0;6;2;1;1;7;0;1;1
1000026;1A;0;6;0;0;0;6;3;2;1
1000027;1A;1;6;0;1;5;9;4;1;0
1000028;1A;2;4;2;1;3;1;3;2;0
1000029;1A;0;5;0;1;1;4;1;0;0
1000030;1A;2;6;2;0;3;2;6;2;0
1000031;1A;2;0;4;0;1;4;5;0;0
1000032;1A;2;0;0;0;4;1;6;1;0
1000033;1A;2;0;2;0;0;5;1;2;1
1000034;1A;0;6;0;1;5;5;5;2;0
1000035;1A;2;1;3;0;2;5;5;2;0
1000036;1A;0;6;3;0;1;9;5;1;0
1000037;1A;1;2;0;0;2;4;2;0;1
1000038;1A;2;0;3;1;1;1;6;2;0
1000039;1A;1;4;0;0;1;0;0;0;0
1000040;1A;2;1;1;1;1;5;0;1;0
1000041;1A;2;3;1;1;0;6;6;1;0
1000042;1A;1;4;1;0;4;2;2;2;1
1000043;1A;1;6;3;1;3;6;1;0;1
1000044;1A;0;6;1;0;0;2;1;0;1
1000045;1A;2;0;0;0;3;6;7;0;0
1000046;1A;0;0;3;0;1;4;7;1;0
1000047;1A;0;1;3;0;1;9;1;1;0
1000048;1A;1;1;1;0;2;4;0;2;1
