Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;5;6;8;3;1;10;7;10;1;6;10;8;9;6;2
1000001;1A;2;5;3;2;1;4;4;10;1;1;10;5;4;6;0
1000002;1A;2;6;0;3;1;6;5;10;1;0;9;2;3;6;2
1000003;1A;2;3;0;0;1;7;2;10;0;3;10;7;7;5;1
1000004;1A;0;2;4;3;0;8;4;3;0;4;5;0;9;0;2
1000005;1A;3;2;1;2;0;7;7;5;1;0;1;1;9;3;0
1000006;1A;0;4;5;3;0;8;6;4;1;5;10;7;2;6;0
1000007;1A;3;1;1;0;0;0;4;1;1;4;10;7;6;5;0
1000008;1A;1;1;3;0;0;7;3;9;1;6;3;1;6;1;2
1000009;1A;4;6;0;0;0;6;0;0;0;0;4;2;7;1;2
1000010;1A;5;2;5;0;0;9;5;3;0;6;9;7;3;0;1
1000011;1A;3;1;4;0;1;0;3;8;0;3;3;4;4;2;0
1000012;1A;0;2;5;2;1;4;0;0;0;3;0;2;9;4;2
1000013;1A;4;1;4;3;0;10;6;5;0;1;3;6;0;1;1
1000014;1A;4;0;8;1;0;3;4;5;0;5;6;3;6;4;1
