Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;7;9;9;3;7;8;8;4;7
1000001;1A;4;3;9;2;1;2;8;4;7
1000002;1A;4;8;0;2;7;6;4;1;6
1000003;1A;1;4;7;2;2;2;3;0;2
1000004;1A;4;7;0;2;0;8;1;0;4
1000005;1A;3;3;4;2;6;7;1;3;2
1000006;1A;6;3;4;3;5;3;5;2;1
1000007;1A;1;1;7;0;2;5;3;1;6
1000008;1A;0;6;3;1;5;0;2;4;2
1000009;1A;3;9;3;3;7;8;7;2;6
1000010;1A;3;9;4;2;6;3;8;1;2
1000011;1A;5;1;0;3;3;0;7;0;2
1000012;1A;1;4;2;1;5;6;8;3;3
1000013;1A;6;4;6;2;7;0;2;1;7
1000014;1A;2;4;0;0;1;3;3;4;5
1000015;1A;5;1;3;0;5;8;7;3;7
1000016;1A;4;5;8;1;7;1;6;0;3
1000017;1A;2;3;3;3;4;7;0;4;2
1000018;1A;2;3;9;0;6;7;7;4;0
1000019;1A;4;5;8;2;4;8;3;4;4
1000020;1A;6;0;5;3;3;8;1;1;7
1000021;1A;7;4;5;1;2;2;7;0;0
