Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;6;5;9;2;10;10
1000001;1A;6;4;3;0;6;2
1000002;1A;4;3;1;1;10;7
1000003;1A;1;4;8;1;8;8
1000004;1A;1;5;8;1;1;10
1000005;1A;6;5;3;2;8;6
1000006;1A;3;1;5;0;5;3
1000007;1A;5;0;1;0;2;8
1000008;1A;5;1;7;2;4;10
1000009;1A;5;1;8;0;1;0
1000010;1A;2;5;6;2;6;7
1000011;1A;0;5;1;0;4;3
1000012;1A;4;1;7;0;4;3
1000013;1A;5;4;3;2;6;2
1000014;1A;2;0;0;2;2;6
1000015;1A;5;2;0;0;9;3
1000016;1A;3;4;3;2;2;7
1000017;1A;4;5;1;1;10;6
1000018;1A;0;3;2;0;2;3
1000019;1A;4;1;1;0;7;6
1000020;1A;0;5;4;1;9;6
1000021;1A;6;4;8;1;7;10
1000022;1A;5;5;0;0;5;9
1000023;1A;0;4;1;1;0;5
1000024;1A;5;3;9;1;0;1
1000025;1A;3;4;1;0;7;4
1000026;1A;4;0;8;1;6;4
1000027;1A;0;4;3;1;3;2
1000028;1A;2;2;7;0;7;4
1000029;1A;5;2;4;2;0;7
1000030;1A;1;5;8;1;8;3
1000031;1A;5;1;3;2;0;4
1000032;1A;2;0;3;2;7;0
1000033;1A;4;3;1;0;6;10
1000034;1A;1;3;8;2;4;9
1000035;1A;0;5;2;2;3;9
1000036;1A;1;0;7;2;10;0
1000037;1A;0;2;8;1;1;5
1000038;1A;4;5;9;0;4;9
1000039;1A;3;3;5;1;3;4
1000040;1A;4;1;6;2;8;0
