Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;10;9;10;6;9;5;4;7;3;5;4;10;4;2;10;6;2;4
1000001;1A;5;8;7;2;5;4;4;1;3;2;2;3;4;2;9;2;1;1
1000002;1A;5;6;0;2;7;4;4;1;1;1;0;5;1;2;7;3;0;2
1000003;1A;9;2;8;4;1;5;0;4;3;1;1;10;4;2;7;6;1;1
1000004;1A;8;4;0;5;8;2;0;1;2;3;3;6;4;0;5;5;1;4
1000005;1A;10;3;4;4;5;0;2;0;2;5;2;1;3;0;1;5;0;0
1000006;1A;7;6;6;5;2;5;0;2;3;1;3;5;2;1;9;0;1;2
1000007;1A;9;3;0;1;2;1;4;1;3;5;0;6;0;1;6;2;2;2
1000008;1A;10;1;8;3;1;0;4;1;2;2;1;0;3;0;8;3;0;0
1000009;1A;0;7;5;1;7;3;0;1;3;1;1;9;4;0;4;3;2;3
1000010;1A;1;2;6;1;8;4;2;3;2;2;2;5;0;0;0;2;2;0
1000011;1A;7;6;10;2;9;5;2;0;3;5;2;3;1;2;1;0;0;0
1000012;1A;1;2;9;1;3;0;1;7;1;2;1;9;3;0;2;2;0;3
1000013;1A;0;6;4;3;6;5;1;1;3;1;1;10;1;1;10;5;2;0
1000014;1A;6;9;7;3;7;4;0;4;1;5;1;8;3;1;10;4;0;0
1000015;1A;7;4;4;4;3;5;2;0;3;5;3;9;1;2;10;0;2;3
