Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;8;7;6;8;2;2;7;7;8;10;9
1000001;1A;1;0;3;3;0;2;0;6;1;8;1;7
1000002;1A;2;7;0;5;4;2;0;2;3;1;10;2
1000003;1A;1;4;2;4;2;0;0;1;3;1;8;8
1000004;1A;0;5;6;1;3;1;1;1;7;0;2;4
1000005;1A;0;6;6;6;8;2;1;2;3;6;0;8
1000006;1A;0;7;0;0;8;1;2;7;6;5;10;5
1000007;1A;1;5;3;6;5;2;1;7;7;4;5;0
1000008;1A;4;8;2;6;0;2;1;0;6;4;2;2
1000009;1A;1;7;3;3;1;2;2;1;7;8;6;3
1000010;1A;4;0;3;3;6;0;2;6;5;7;6;6
1000011;1A;2;3;3;3;3;1;1;1;7;6;6;6
1000012;1A;2;1;7;6;1;2;0;0;6;5;6;9
1000013;1A;0;8;3;5;8;2;0;5;4;1;3;3
1000014;1A;3;6;4;0;8;2;2;6;4;5;6;7
1000015;1A;1;7;4;0;0;1;2;3;7;7;9;0
1000016;1A;2;7;0;6;5;0;0;1;6;8;1;4
1000017;1A;2;4;3;5;7;1;2;0;4;1;5;6
1000018;1A;4;3;5;1;2;1;1;5;5;5;6;5
