Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;3;10;9;10;10;10;9;3;6;10;4;6;2;3;2;2;3
1000001;1A;3;0;5;0;0;9;8;1;1;2;7;2;1;0;3;0;1;1
1000002;1A;2;2;3;6;9;3;4;9;3;6;4;3;2;2;1;0;1;3
1000003;1A;4;1;2;5;6;0;3;9;3;6;6;4;3;0;0;1;1;3
1000004;1A;4;3;5;8;10;1;10;5;3;5;3;3;0;1;0;1;0;0
1000005;1A;2;0;5;6;3;9;3;2;0;2;6;3;2;2;1;0;0;2
1000006;1A;3;3;8;4;1;10;0;0;0;0;3;1;4;0;1;0;2;3
1000007;1A;3;1;5;8;4;6;7;2;2;5;5;2;6;2;0;1;1;3
1000008;1A;3;3;1;6;1;8;2;5;3;0;3;2;1;0;1;0;0;0
1000009;1A;0;0;9;5;6;9;4;8;2;6;0;4;0;2;0;1;0;3
1000010;1A;3;1;3;6;4;5;2;4;0;6;4;3;5;2;2;2;0;1
1000011;1A;3;1;3;7;3;4;2;7;2;3;3;2;5;2;2;2;2;1
1000012;1A;4;1;9;9;5;4;9;4;3;4;7;2;0;0;0;2;2;1
1000013;1A;3;1;4;7;1;0;6;7;0;0;3;4;3;0;0;2;0;2
1000014;1A;1;2;6;3;6;7;7;4;2;6;10;3;3;0;1;1;0;0
1000015;1A;2;0;2;9;0;0;5;8;1;5;0;3;0;1;3;1;2;1
1000016;1A;2;3;4;5;4;5;6;7;0;5;10;2;1;2;3;2;2;1
1000017;1A;0;1;2;9;5;2;4;5;0;5;10;3;3;0;1;1;2;1
1000018;1A;0;1;10;1;3;0;10;3;1;3;3;1;5;1;3;1;0;1
1000019;1A;2;2;9;8;2;6;1;7;1;5;10;0;5;1;1;1;2;2
1000020;1A;3;1;9;5;4;7;8;7;1;5;7;1;5;0;1;1;2;0
