Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;3;3;8;7;7;10;6;9;6;6;2;3
1000001;1A;0;2;7;4;2;1;6;9;2;4;2;3
1000002;1A;3;3;3;6;6;10;4;1;4;2;1;3
1000003;1A;3;2;0;6;3;4;4;8;6;0;0;2
1000004;1A;1;2;1;5;1;2;1;4;0;1;2;1
1000005;1A;1;1;6;7;1;8;6;9;3;2;2;3
1000006;1A;1;3;5;1;1;7;5;7;1;5;2;0
1000007;1A;0;0;4;2;6;10;6;4;3;3;1;3
1000008;1A;0;3;8;1;4;8;4;9;0;4;1;2
1000009;1A;1;3;3;7;7;0;1;2;1;0;0;1
1000010;1A;3;3;1;2;0;7;6;6;3;4;2;3
1000011;1A;1;0;1;7;4;6;6;1;0;4;1;3
1000012;1A;1;1;3;4;1;9;3;0;0;1;2;3
1000013;1A;1;3;1;3;3;9;1;0;4;5;2;0
1000014;1A;2;2;2;7;4;3;0;8;1;0;1;1
1000015;1A;1;2;3;0;4;0;2;7;1;6;2;1
1000016;1A;0;0;4;0;2;10;1;3;6;2;1;3
1000017;1A;2;2;1;5;4;3;3;8;6;2;1;1
1000018;1A;0;1;0;0;3;10;0;0;3;3;2;0
1000019;1A;0;1;6;3;0;10;3;7;4;1;0;1
1000020;1A;2;2;1;5;6;7;3;6;4;0;2;2
1000021;1A;2;1;0;4;2;8;0;4;2;6;2;0
1000022;1A;2;0;1;6;3;0;6;8;1;1;2;1
1000023;1A;1;0;8;0;3;4;2;7;3;0;2;3
