Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;6;7;7;9;10;1;6;10;4
1000001;1A;1;6;5;0;2;0;6;8;1
1000002;1A;1;0;5;7;3;0;0;10;1
1000003;1A;5;3;0;9;7;0;5;8;0
1000004;1A;3;3;0;1;2;0;4;1;4
1000005;1A;5;0;7;6;9;0;2;6;4
1000006;1A;2;3;1;6;9;0;2;4;0
1000007;1A;2;6;4;6;1;0;0;9;4
1000008;1A;2;1;0;4;8;1;3;7;2
1000009;1A;2;5;1;9;8;1;1;8;0
1000010;1A;4;2;4;5;1;1;1;8;0
1000011;1A;2;2;5;2;8;1;4;0;0
1000012;1A;3;2;7;4;9;0;3;8;4
1000013;1A;4;2;1;4;4;1;2;2;0
1000014;1A;5;0;3;0;3;1;1;10;4
1000015;1A;1;3;2;5;8;1;3;1;1
1000016;1A;6;1;7;3;4;0;3;4;0
1000017;1A;2;3;5;5;6;1;2;1;0
1000018;1A;3;3;4;8;3;0;3;10;4
1000019;1A;0;0;3;1;10;0;6;2;4
1000020;1A;3;7;6;3;2;1;1;3;0
1000021;1A;6;6;2;8;7;1;4;8;3
1000022;1A;2;0;6;2;0;0;1;4;4
1000023;1A;3;6;7;1;4;0;4;5;2
1000024;1A;4;2;0;4;1;0;0;4;2
1000025;1A;2;0;4;7;1;0;2;2;1
1000026;1A;6;3;4;2;4;0;5;2;3
1000027;1A;6;0;6;3;5;1;3;9;3
1000028;1A;0;4;1;4;4;0;5;10;0
1000029;1A;4;4;5;0;8;0;1;4;0
1000030;1A;3;1;6;4;5;1;5;7;2
1000031;1A;2;4;1;6;7;0;3;9;3
1000032;1A;0;5;1;0;10;1;2;6;1
1000033;1A;6;0;0;9;3;0;3;8;2
1000034;1A;1;1;5;5;6;1;6;2;2
