Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;3;6;3
1000001;1A;2;2;3
1000002;1A;3;2;1
1000003;1A;3;1;0
1000004;1A;1;0;0
1000005;1A;2;2;1
1000006;1A;3;2;0
1000007;1A;1;4;3
1000008;1A;0;3;1
1000009;1A;1;1;1
1000010;1A;1;5;1
1000011;1A;0;0;2
1000012;1A;2;1;3
1000013;1A;2;3;0
1000014;1A;2;3;2
1000015;1A;3;0;0
1000016;1A;1;1;3
1000017;1A;3;4;2
1000018;1A;2;5;1
1000019;1A;0;1;3
1000020;1A;0;3;3
1000021;1A;0;5;0
1000022;1A;3;1;1
1000023;1A;1;3;3
1000024;1A;2;1;0
1000025;1A;3;5;2
1000026;1A;2;4;1
1000027;1A;2;5;3
1000028;1A;1;4;1
1000029;1A;2;1;0
1000030;1A;3;0;1
1000031;1A;2;2;1
1000032;1A;2;2;3
1000033;1A;1;4;3
1000034;1A;0;0;3
1000035;1A;0;3;0
1000036;1A;3;3;1
1000037;1A;3;0;3
1000038;1A;3;2;3
1000039;1A;3;1;0
1000040;1A;3;2;3
1000041;1A;3;1;1
1000042;1A;1;0;1
1000043;1A;1;0;2
1000044;1A;0;1;3
1000045;1A;2;1;1
