Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;1;7;7;7;8;6;1;7;7;3;2;8;9;3;10
1000001;1A;1;4;2;6;2;4;0;3;7;3;0;6;3;0;0
1000002;1A;0;2;7;1;3;5;1;4;6;1;1;1;2;3;7
1000003;1A;0;2;0;2;8;5;0;0;5;0;2;4;4;3;1
1000004;1A;1;3;0;5;8;4;1;6;1;1;1;3;6;0;6
1000005;1A;1;0;7;2;0;1;1;3;7;2;1;5;7;1;6
1000006;1A;0;5;6;7;8;0;1;1;6;1;2;2;9;0;3
1000007;1A;1;5;5;0;3;1;0;0;6;1;1;3;8;1;10
1000008;1A;0;7;7;2;0;6;0;0;2;2;2;1;5;0;0
1000009;1A;0;6;7;6;3;3;0;1;6;1;1;1;3;1;10
1000010;1A;1;0;6;0;8;6;1;1;6;0;0;1;6;1;5
1000011;1A;1;7;6;0;2;2;0;5;4;3;0;3;1;1;4
1000012;1A;0;3;6;7;7;1;1;3;1;2;2;5;6;3;1
1000013;1A;0;4;1;3;5;0;1;4;5;1;1;3;8;2;4
1000014;1A;1;2;7;4;5;0;1;3;5;1;2;2;3;3;7
1000015;1A;0;7;4;0;4;3;1;0;7;3;0;8;5;3;0
1000016;1A;0;0;3;1;2;3;0;3;6;2;2;8;1;0;3
1000017;1A;1;6;0;2;2;0;1;1;5;2;0;7;7;2;2
1000018;1A;1;0;0;6;3;6;1;0;7;0;0;1;2;1;7
1000019;1A;1;4;7;3;7;6;1;4;2;3;0;1;6;2;3
1000020;1A;0;5;5;6;8;3;0;0;0;2;2;6;5;3;4
1000021;1A;0;2;5;2;0;2;1;5;1;2;0;7;7;3;2
1000022;1A;0;1;7;4;2;0;1;1;1;3;1;4;8;3;2
1000023;1A;1;1;5;1;8;0;1;1;3;2;1;8;6;0;1
1000024;1A;1;3;6;2;0;2;1;4;6;0;0;5;3;2;0
1000025;1A;0;7;2;5;3;5;0;1;7;3;0;8;4;0;0
1000026;1A;0;6;6;5;5;5;0;6;5;2;2;4;9;2;7
1000027;1A;1;7;3;3;7;3;1;1;4;3;0;6;2;0;5
1000028;1A;0;2;0;0;5;1;0;5;0;1;1;5;9;0;6
1000029;1A;1;6;0;6;8;2;0;5;6;0;0;1;1;1;2
1000030;1A;1;3;6;6;4;0;1;1;5;1;0;0;4;3;10
