Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;2;1;7;8;5;7;5;1;3
1000001;1A;2;0;5;7;0;0;5;0;1
1000002;1A;1;1;2;0;3;7;2;0;1
1000003;1A;0;0;7;0;3;1;5;0;0
1000004;1A;1;1;0;2;3;0;2;1;3
1000005;1A;0;1;4;0;3;5;4;0;0
1000006;1A;2;0;0;6;5;6;0;0;0
1000007;1A;0;1;0;3;3;7;0;0;2
1000008;1A;0;0;6;4;1;4;4;0;1
1000009;1A;0;1;4;7;5;3;0;0;2
1000010;1A;1;0;0;1;1;1;2;0;2
1000011;1A;0;1;1;0;5;5;4;1;3
1000012;1A;2;1;7;2;0;3;0;1;3
1000013;1A;1;0;5;5;3;0;4;1;0
1000014;1A;0;0;3;7;4;7;5;0;0
1000015;1A;2;0;5;8;1;6;2;0;2
1000016;1A;1;0;4;7;4;3;4;0;1
1000017;1A;1;0;1;1;2;0;5;1;0
1000018;1A;1;0;5;7;5;2;2;0;3
1000019;1A;0;0;6;0;2;6;2;1;3
1000020;1A;0;1;2;2;3;7;2;0;1
1000021;1A;2;0;7;5;4;3;5;0;1
1000022;1A;2;1;4;4;2;1;3;1;3
1000023;1A;2;0;2;4;3;0;0;1;1
1000024;1A;2;1;0;1;0;5;3;1;1
1000025;1A;0;0;1;4;2;1;2;1;3
1000026;1A;1;1;4;3;5;5;0;1;0
