Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;9;1;9;4;7;7;4;9;3;10;9;6;5;7;1;7;10;9
1000001;1A;0;0;6;1;7;0;1;0;2;9;3;2;5;5;0;3;5;6
1000002;1A;8;0;4;1;1;2;4;9;3;6;4;4;3;2;1;5;7;0
1000003;1A;1;1;6;1;3;0;4;1;1;10;5;6;5;3;1;5;10;6
1000004;1A;0;1;0;1;0;5;3;8;3;3;9;5;3;5;1;2;2;8
1000005;1A;2;1;6;1;3;5;4;2;1;1;6;3;3;6;1;7;3;5
1000006;1A;1;1;9;2;6;5;1;5;0;0;4;5;0;0;0;5;6;8
1000007;1A;8;1;0;4;3;4;3;2;3;3;2;6;2;6;0;0;10;9
1000008;1A;2;0;1;0;4;3;0;7;0;7;5;1;2;1;1;0;3;5
1000009;1A;4;1;1;0;3;2;0;4;1;4;7;5;0;7;1;1;0;0
1000010;1A;8;1;3;2;4;7;4;8;3;9;7;0;0;2;0;6;2;1
1000011;1A;4;1;1;1;2;0;0;8;3;2;8;5;5;4;0;6;4;5
1000012;1A;4;1;2;1;5;6;3;8;0;8;9;2;3;0;0;6;10;6
1000013;1A;3;0;2;3;4;0;2;0;3;5;6;3;0;0;1;6;6;3
1000014;1A;2;1;6;4;0;5;1;5;1;9;4;0;3;0;0;1;5;7
1000015;1A;8;1;7;0;0;1;2;7;0;10;3;4;2;3;1;0;1;6
1000016;1A;9;1;5;3;1;5;2;6;3;1;0;1;3;7;0;5;9;7
1000017;1A;9;1;0;4;5;2;4;9;2;2;5;6;4;1;1;0;0;5
1000018;1A;5;1;9;0;7;1;0;6;3;3;8;6;1;2;1;0;2;3
1000019;1A;3;1;4;1;0;3;3;0;2;8;1;3;0;6;1;3;1;7
1000020;1A;9;1;7;4;1;0;1;9;3;10;8;0;3;6;0;6;0;3
1000021;1A;4;1;0;3;7;4;3;2;2;8;6;0;5;3;1;3;3;8
1000022;1A;0;1;0;3;6;0;4;2;3;7;5;2;2;3;0;0;2;0
