Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;8;7;6;2;5;2
1000001;1A;3;3;2;0;4;2
1000002;1A;2;4;0;1;0;0
1000003;1A;0;2;4;2;2;0
1000004;1A;5;2;4;2;3;1
1000005;1A;2;7;6;2;0;1
1000006;1A;3;4;5;2;3;0
1000007;1A;3;0;2;2;5;0
1000008;1A;2;3;0;0;2;1
1000009;1A;7;4;4;2;1;1
1000010;1A;3;4;0;2;3;2
1000011;1A;0;4;2;1;1;2
1000012;1A;4;1;2;0;1;2
1000013;1A;8;2;3;0;4;0
1000014;1A;0;5;0;0;0;0
1000015;1A;7;5;2;1;1;2
1000016;1A;6;0;2;2;5;2
1000017;1A;3;6;3;2;3;1
1000018;1A;7;2;5;2;5;0
1000019;1A;6;2;1;0;2;1
1000020;1A;3;4;0;0;3;0
1000021;1A;1;6;0;0;4;0
1000022;1A;0;4;2;0;2;1
1000023;1A;5;7;5;1;3;1
1000024;1A;8;5;4;0;1;2
1000025;1A;6;7;0;2;1;2
1000026;1A;7;1;3;0;3;2
1000027;1A;2;3;0;1;3;2
1000028;1A;4;0;4;2;5;2
1000029;1A;6;7;4;0;2;2
1000030;1A;0;7;6;2;0;1
1000031;1A;6;6;2;2;2;1
1000032;1A;4;2;2;2;5;1
1000033;1A;7;2;6;2;2;1
1000034;1A;3;7;1;2;5;1
1000035;1A;8;4;6;1;2;2
1000036;1A;1;1;4;1;0;0
1000037;1A;1;1;2;1;2;2
1000038;1A;7;4;2;2;4;0
1000039;1A;0;6;0;1;3;2
1000040;1A;1;7;4;1;5;0
1000041;1A;0;2;6;0;0;0
1000042;1A;5;0;6;0;3;0
1000043;1A;8;6;0;2;3;1
1000044;1A;3;1;4;2;1;0
1000045;1A;0;0;1;0;4;1
