Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;2;3;3;4;5;7;6;10;10;3;6;6;10;2;8;2;7;1
1000001;1A;1;1;3;0;0;4;1;9;5;0;2;1;2;2;1;0;0;1
1000002;1A;1;2;1;1;2;5;3;10;7;3;6;6;7;1;2;1;0;0
1000003;1A;2;3;3;1;3;2;0;4;5;2;2;0;1;1;4;2;0;1
1000004;1A;1;0;3;3;1;3;3;6;10;1;3;4;0;2;1;2;1;1
1000005;1A;1;0;2;0;5;1;3;7;3;0;5;0;0;2;5;2;7;1
1000006;1A;0;2;0;0;1;0;0;9;3;1;2;0;7;2;2;1;7;1
1000007;1A;2;1;3;1;5;2;5;7;2;2;4;5;4;2;1;2;0;0
1000008;1A;0;1;3;2;3;7;0;1;4;2;4;6;4;0;2;0;4;1
1000009;1A;1;2;3;2;1;5;6;0;1;1;2;3;10;1;2;2;5;1
1000010;1A;0;1;3;2;5;3;6;1;2;0;4;0;9;1;3;0;0;0
1000011;1A;2;0;2;0;3;0;5;0;6;1;5;3;5;0;0;2;3;0
1000012;1A;2;3;2;3;1;1;5;1;9;0;4;3;2;2;4;1;4;0
1000013;1A;0;2;2;0;3;3;1;1;0;3;1;4;5;0;1;0;4;1
1000014;1A;0;0;0;4;3;1;1;4;2;2;4;0;3;1;0;2;1;1
1000015;1A;0;2;0;0;5;2;6;8;6;1;6;1;3;0;3;2;1;1
1000016;1A;2;0;0;0;4;4;2;8;1;3;1;2;3;0;3;2;4;1
1000017;1A;1;3;1;0;3;0;2;1;10;2;2;4;6;0;4;2;4;1
1000018;1A;0;1;2;0;5;0;3;9;2;3;6;5;5;1;8;1;5;1
1000019;1A;2;1;1;4;1;7;3;8;3;3;0;1;5;1;0;0;3;0
1000020;1A;0;3;3;2;5;1;5;7;5;2;4;5;3;1;2;1;0;1
1000021;1A;2;1;1;4;3;7;0;5;1;2;3;3;2;1;5;0;4;1
1000022;1A;0;3;2;3;1;4;4;2;0;3;3;1;1;2;0;0;3;1
1000023;1A;1;0;0;4;4;3;5;9;6;0;3;6;2;0;4;2;1;0
1000024;1A;1;2;0;3;2;3;3;6;9;3;6;3;0;0;5;1;4;0
1000025;1A;2;1;0;0;1;5;6;7;7;0;5;5;5;0;1;2;7;0
1000026;1A;0;0;1;0;3;2;0;7;0;3;5;3;0;1;6;0;4;1
1000027;1A;0;1;0;3;0;3;0;8;3;2;1;3;8;1;5;2;6;1
1000028;1A;0;1;0;2;3;6;2;9;6;0;2;4;0;0;3;0;6;0
1000029;1A;1;2;2;4;2;0;5;8;9;2;4;0;4;0;6;2;6;0
1000030;1A;1;1;1;4;0;6;0;1;8;1;5;1;9;1;4;1;2;1
1000031;1A;0;0;0;2;4;3;3;0;1;3;2;5;6;1;4;0;0;0
1000032;1A;1;3;1;0;2;3;6;10;6;0;1;1;9;0;7;2;4;0
1000033;1A;0;2;2;1;2;5;4;9;4;1;1;5;6;2;8;1;1;1
1000034;1A;0;0;1;0;0;0;4;0;8;3;0;5;4;2;1;2;2;1
1000035;1A;0;2;3;3;2;5;4;1;10;0;3;3;3;2;2;2;2;0
1000036;1A;1;1;1;4;5;7;4;7;3;1;2;3;4;2;4;0;5;0
1000037;1A;2;1;1;3;5;7;6;3;9;1;5;1;0;2;4;0;5;0
1000038;1A;2;1;0;3;3;7;4;9;10;2;2;5;8;0;2;0;6;1
1000039;1A;1;1;1;3;4;4;1;8;2;2;2;1;8;1;7;2;4;1
1000040;1A;0;1;3;0;0;2;6;9;1;3;3;1;4;2;4;0;2;1
1000041;1A;2;0;2;0;4;0;4;2;0;0;1;1;2;1;4;2;1;0
