Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;3;5;5;2;9;6;1;8;6;5;1;2;9;10;5;6;9;3;1;1;4;10;3;3
1000001;1A;3;1;1;2;4;0;0;1;1;5;0;2;5;0;1;5;4;3;1;0;2;6;0;2
1000002;1A;0;3;5;1;9;2;1;7;5;0;1;1;3;9;1;1;4;0;0;0;2;10;0;3
1000003;1A;3;5;5;1;5;5;0;3;0;5;1;2;0;10;2;2;5;1;1;1;1;3;0;0
1000004;1A;3;5;1;0;0;3;1;1;2;2;1;1;3;10;3;0;4;2;0;0;0;10;0;2
1000005;1A;1;3;3;1;6;6;1;7;4;3;1;2;3;7;1;1;8;2;0;1;0;2;0;3
1000006;1A;0;2;5;1;4;1;0;7;1;1;0;2;7;5;4;6;5;2;0;0;1;3;0;2
1000007;1A;2;3;0;2;9;1;1;4;3;5;1;1;7;6;3;5;4;1;1;0;4;10;0;3
1000008;1A;2;1;2;2;7;6;0;2;1;5;0;2;1;5;2;5;4;2;0;0;4;9;1;2
1000009;1A;2;5;0;1;9;3;0;1;3;5;1;2;4;7;4;5;7;3;0;1;1;7;0;3
1000010;1A;2;4;0;0;4;6;1;3;0;3;1;0;7;5;5;2;2;0;1;0;4;8;3;0
1000011;1A;3;5;4;1;2;1;1;1;5;0;0;1;5;9;5;6;6;0;1;0;0;7;0;3
1000012;1A;1;5;1;2;5;3;0;6;0;2;1;0;8;1;4;5;1;2;0;0;0;5;0;3
1000013;1A;2;0;1;0;1;6;0;0;4;5;1;1;2;3;1;2;7;2;1;1;1;3;3;2
1000014;1A;2;1;0;1;8;1;1;3;4;3;0;2;1;5;3;3;3;1;1;0;2;10;0;0
