Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3;9.1;9.2;9.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;9;8;3;1;10;3;2;7;2;9;8;10;7;8;9;2;7;10;1;10;2;7;4;5;8;6;7
1000001;1A;1;0;0;1;3;3;1;7;2;6;0;8;0;6;5;0;1;5;0;0;1;2;2;4;0;6;3
1000002;1A;6;5;0;0;2;1;1;1;2;7;5;9;7;0;8;0;5;0;1;0;0;1;0;1;3;1;2
1000003;1A;7;3;3;0;10;0;1;4;1;3;3;1;1;0;1;0;5;8;1;5;1;5;0;3;1;2;1
1000004;1A;7;6;3;1;10;3;2;5;2;4;1;4;5;5;5;0;3;5;1;7;0;3;0;0;2;2;3
1000005;1A;5;0;0;0;2;2;2;5;2;9;5;6;4;1;4;0;1;9;0;0;0;3;4;1;2;2;2
1000006;1A;2;6;1;0;0;1;1;7;0;3;8;2;1;4;6;1;0;1;0;5;1;1;0;3;5;1;5
1000007;1A;1;4;2;0;7;3;2;4;2;9;2;1;7;1;9;2;5;2;1;4;1;3;4;2;6;3;6
1000008;1A;4;0;1;0;5;3;2;5;1;7;8;6;0;2;8;2;7;0;0;5;1;3;0;5;6;2;2
1000009;1A;1;5;3;1;10;1;0;1;1;0;2;5;0;5;5;2;7;5;1;5;2;5;4;5;8;3;7
1000010;1A;3;7;3;0;2;0;2;4;2;6;7;0;4;1;8;0;3;6;0;6;1;3;1;2;8;1;1
1000011;1A;5;8;3;0;1;3;0;7;0;0;6;10;2;5;6;2;1;5;1;7;0;2;1;1;2;3;1
1000012;1A;7;7;0;0;9;0;0;3;0;2;6;6;1;6;6;0;0;3;0;2;2;4;0;5;1;5;0
1000013;1A;9;5;0;1;7;1;2;4;2;2;0;5;4;7;1;0;4;0;0;4;0;5;4;5;6;2;3
1000014;1A;9;6;0;0;5;3;2;0;1;2;4;6;2;1;9;1;5;1;1;0;0;1;3;2;6;2;0
1000015;1A;2;7;0;0;3;1;1;2;2;5;5;9;0;0;4;0;6;5;1;9;0;4;4;2;1;5;5
1000016;1A;7;6;2;1;8;2;2;5;2;9;3;6;0;0;1;1;2;6;1;7;1;0;3;0;6;6;6
1000017;1A;4;6;3;0;3;1;0;1;1;3;8;5;3;8;5;2;6;0;0;7;0;0;2;0;3;0;1
1000018;1A;3;4;0;0;1;2;0;3;0;5;2;5;7;5;0;0;6;0;0;6;1;2;2;5;2;5;1
