Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;7;6;8;3;9;3;2;5;2;6;7;3;8;8
1000001;1A;4;6;3;5;3;2;0;2;5;2;4;5;0;5;7
1000002;1A;6;7;0;2;0;7;2;0;2;1;6;2;1;0;7
1000003;1A;7;3;2;5;3;8;1;0;5;2;6;2;1;4;0
1000004;1A;3;0;4;8;0;8;3;1;1;2;0;2;0;1;1
1000005;1A;1;4;1;0;1;5;3;0;5;0;4;3;1;4;5
1000006;1A;3;0;0;6;2;7;0;1;0;0;5;3;1;3;0
1000007;1A;4;2;0;5;3;0;1;0;3;2;4;0;2;0;7
1000008;1A;8;6;3;7;3;8;2;0;5;1;0;5;3;1;5
1000009;1A;0;4;5;2;3;8;3;2;2;0;3;0;0;1;3
1000010;1A;0;2;1;6;0;9;3;0;1;0;0;5;0;2;5
1000011;1A;6;3;5;2;1;0;0;2;2;2;1;7;0;1;5
1000012;1A;7;7;5;2;2;9;3;1;4;2;1;7;3;3;1
1000013;1A;8;5;6;3;0;0;0;2;2;2;3;6;1;7;5
1000014;1A;8;3;1;1;1;9;1;1;1;1;5;2;0;2;3
1000015;1A;6;2;1;3;0;5;3;0;4;1;2;5;0;8;3
1000016;1A;6;0;2;6;0;7;2;0;3;2;3;6;1;1;5
1000017;1A;5;7;5;5;0;1;3;2;3;0;3;1;2;6;6
1000018;1A;8;6;3;5;0;9;2;0;2;1;3;3;2;2;2
1000019;1A;1;7;6;3;3;7;1;2;4;0;2;5;1;2;0
1000020;1A;4;2;2;5;1;4;1;0;4;1;5;4;0;4;0
1000021;1A;3;2;2;8;1;6;1;0;0;2;3;3;3;4;0
