Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;3;9;7;3;3;10;2;10;6;9;4;3
1000001;1A;2;3;7;0;0;3;1;10;0;1;0;3
1000002;1A;2;4;5;1;2;4;1;5;5;7;0;3
1000003;1A;2;6;7;3;0;3;0;8;4;0;0;1
1000004;1A;3;7;1;0;3;1;0;10;4;1;3;1
1000005;1A;2;1;3;1;2;8;2;1;5;6;2;1
1000006;1A;3;6;1;2;0;5;1;2;1;1;2;3
1000007;1A;1;5;2;0;1;3;0;1;6;1;2;0
1000008;1A;1;3;5;2;0;8;1;10;4;1;0;3
1000009;1A;1;3;4;1;0;2;0;10;4;0;3;3
1000010;1A;3;0;6;2;1;6;0;8;4;5;3;2
1000011;1A;2;0;3;2;1;6;1;7;1;6;0;0
1000012;1A;3;1;7;2;0;6;2;6;1;9;3;3
1000013;1A;2;5;4;3;2;0;2;8;2;0;2;0
1000014;1A;1;5;4;0;3;8;2;2;0;2;4;1
1000015;1A;2;4;5;1;0;0;2;4;6;0;4;2
1000016;1A;2;4;2;1;1;4;1;2;5;7;3;3
1000017;1A;1;3;6;1;0;7;0;2;1;7;0;3
1000018;1A;0;4;1;1;2;1;2;8;1;3;4;0
1000019;1A;2;5;2;1;2;0;1;2;0;6;1;1
1000020;1A;2;2;7;3;2;4;1;10;1;2;3;1
1000021;1A;2;3;3;2;1;8;0;1;6;4;1;2
1000022;1A;0;9;5;0;0;1;0;7;2;7;1;0
1000023;1A;1;8;0;3;1;6;0;2;4;9;2;3
1000024;1A;0;5;6;2;1;5;1;0;2;6;4;2
1000025;1A;3;9;4;0;3;3;1;3;5;5;1;3
1000026;1A;1;5;4;2;3;9;2;4;5;4;0;1
1000027;1A;0;6;4;3;0;4;1;4;4;5;0;3
1000028;1A;2;8;7;3;3;8;2;5;5;5;3;0
1000029;1A;3;8;7;0;3;8;0;9;2;8;1;3
1000030;1A;0;9;0;2;0;0;1;1;2;7;1;3
1000031;1A;1;1;2;3;0;5;0;4;2;9;1;0
1000032;1A;3;6;4;0;1;0;1;4;6;8;3;3
1000033;1A;3;9;7;2;1;3;1;6;2;6;4;2
1000034;1A;1;8;0;2;1;6;0;9;4;0;1;1
1000035;1A;1;0;4;1;1;6;1;1;4;8;0;1
1000036;1A;0;7;0;0;0;3;1;3;1;0;2;0
