Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;5;10;10;10;3;8
1000001;1A;1;0;3;7;2;0
1000002;1A;1;7;10;1;0;8
1000003;1A;2;0;10;9;2;7
1000004;1A;1;3;7;1;3;8
1000005;1A;2;10;4;4;0;6
1000006;1A;4;7;1;7;2;0
1000007;1A;4;0;4;4;2;5
1000008;1A;3;4;10;3;1;2
1000009;1A;2;8;9;10;1;5
1000010;1A;3;2;3;9;1;7
1000011;1A;4;8;8;5;2;6
1000012;1A;5;0;0;5;3;5
1000013;1A;0;10;3;0;3;6
1000014;1A;1;6;8;5;0;6
1000015;1A;5;1;10;9;0;8
1000016;1A;2;9;8;9;0;4
1000017;1A;3;0;7;10;2;2
1000018;1A;1;1;9;3;2;0
1000019;1A;5;0;4;10;0;7
1000020;1A;4;1;10;7;3;0
1000021;1A;1;1;5;5;0;7
