Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;3;8;2;2;10;4;8;7;6;3;3;9;9;7;10;4;9;8
1000001;1A;2;0;1;0;2;1;3;2;5;2;2;2;7;0;10;1;6;2
1000002;1A;1;5;0;0;8;2;7;5;5;0;1;2;5;7;10;3;8;4
1000003;1A;0;8;0;0;1;4;5;7;0;2;0;8;2;5;10;1;7;7
1000004;1A;0;5;1;1;4;2;1;0;5;0;0;5;4;5;1;0;0;1
1000005;1A;2;2;2;0;1;0;5;4;6;1;2;4;8;0;9;3;7;4
1000006;1A;0;0;2;0;8;3;6;1;2;3;2;2;1;3;0;4;6;5
1000007;1A;3;7;1;1;3;4;6;0;2;0;3;5;3;0;3;2;9;0
1000008;1A;3;2;2;1;3;0;1;6;0;1;3;2;4;3;3;1;0;3
1000009;1A;2;8;1;1;7;4;1;7;4;1;3;7;9;3;4;1;6;5
1000010;1A;3;7;0;2;5;2;3;2;4;1;0;7;7;2;8;4;6;8
1000011;1A;0;1;2;0;4;1;1;3;4;0;2;3;6;7;4;3;9;2
1000012;1A;2;6;0;1;3;0;7;0;5;3;3;1;8;5;9;3;4;8
1000013;1A;2;8;0;2;0;4;2;6;4;2;1;5;5;3;0;1;3;3
1000014;1A;3;0;0;2;9;0;8;1;3;1;2;2;8;0;5;2;9;4
1000015;1A;2;0;1;2;0;0;0;0;4;2;0;1;6;7;8;1;1;2
1000016;1A;2;4;1;0;8;4;5;4;5;3;1;8;7;3;5;1;0;5
1000017;1A;1;0;1;0;6;4;2;6;5;0;2;4;5;6;3;3;2;3
