Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;3;10;7;9;1;9;9;2;4;6;9;4;7;9;1;5;8
1000001;1A;4;0;8;5;5;1;5;2;2;4;4;1;3;0;9;1;3;8
1000002;1A;3;0;6;2;4;0;9;1;2;4;3;1;2;5;6;1;0;5
1000003;1A;1;2;8;7;9;0;9;7;0;4;4;4;3;5;9;1;0;1
1000004;1A;2;3;9;1;5;1;4;5;1;4;4;1;1;5;5;0;1;4
1000005;1A;3;0;7;2;6;1;1;2;0;1;6;9;1;7;9;1;5;4
1000006;1A;1;0;1;2;8;0;0;9;0;4;1;4;0;7;0;1;4;6
1000007;1A;4;2;8;7;4;1;8;9;1;2;0;1;4;5;0;1;3;8
1000008;1A;4;1;0;7;8;0;8;5;1;4;4;7;2;2;7;0;1;6
1000009;1A;0;3;3;6;1;1;4;0;2;0;3;4;1;3;0;0;2;2
1000010;1A;0;1;5;1;7;0;2;6;2;2;1;8;3;0;4;0;1;2
1000011;1A;3;0;0;4;0;1;0;0;1;0;2;2;4;1;6;0;3;8
1000012;1A;0;0;7;0;1;1;1;3;0;0;5;4;3;5;4;0;1;0
1000013;1A;2;0;7;6;6;1;0;6;1;0;4;8;4;3;4;0;0;6
1000014;1A;4;2;1;6;2;1;2;7;0;4;6;7;2;4;9;0;2;0
1000015;1A;1;0;1;5;8;0;4;2;0;3;1;8;4;0;0;0;0;2
