Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;1;6;5;10;9;4;8;2;7;8;1;3
1000001;1A;0;5;0;9;2;1;3;1;3;7;1;0
1000002;1A;1;5;5;3;2;4;3;2;4;6;1;0
1000003;1A;1;0;1;6;8;4;8;2;3;3;1;3
1000004;1A;1;0;3;6;9;1;5;1;6;5;0;0
1000005;1A;0;4;1;7;3;3;1;2;5;0;1;0
1000006;1A;1;6;2;3;5;2;3;2;1;8;0;2
1000007;1A;0;1;4;4;1;0;6;1;1;7;0;1
1000008;1A;1;0;1;4;1;4;1;1;3;3;0;2
1000009;1A;0;6;1;7;6;1;6;2;4;6;1;3
1000010;1A;1;5;5;10;8;1;8;1;3;2;0;0
1000011;1A;1;6;1;10;5;0;4;2;3;4;1;1
1000012;1A;0;2;4;10;4;1;2;0;1;5;0;1
1000013;1A;1;1;5;10;4;0;4;0;5;8;0;3
1000014;1A;0;3;3;8;1;4;8;0;7;3;1;2
1000015;1A;1;4;0;1;7;0;8;2;2;5;0;3
1000016;1A;1;0;4;9;6;1;1;0;3;0;1;3
1000017;1A;0;0;1;7;5;1;0;2;1;1;1;3
1000018;1A;1;4;1;3;5;0;6;0;0;8;0;3
1000019;1A;1;5;4;1;4;1;5;0;1;7;0;1
1000020;1A;0;4;0;5;2;2;2;0;0;6;0;2
1000021;1A;1;4;1;2;4;1;7;1;4;3;1;0
1000022;1A;1;2;5;9;6;2;1;2;6;5;1;2
1000023;1A;0;4;2;9;9;4;8;2;1;4;1;3
1000024;1A;0;5;4;0;9;3;1;0;2;4;0;2
1000025;1A;1;4;5;7;5;1;3;0;0;3;0;2
1000026;1A;0;0;2;10;9;0;7;0;6;0;1;1
1000027;1A;0;2;3;8;6;4;3;2;3;2;0;3
1000028;1A;1;0;1;2;9;0;4;2;1;6;0;1
1000029;1A;0;6;3;0;6;3;0;2;5;1;1;1
1000030;1A;1;5;1;0;4;0;4;0;2;8;1;0
1000031;1A;0;0;5;9;0;3;5;1;0;4;0;3
1000032;1A;0;6;0;5;0;1;0;2;3;8;1;1
