Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;7;4;1;4;4;3;5;1;1
1000001;1A;2;2;1;1;3;3;1;0;0
1000002;1A;5;4;1;4;0;3;4;1;0
1000003;1A;5;3;0;0;0;3;1;0;0
1000004;1A;4;0;0;4;0;0;5;0;1
1000005;1A;1;0;1;1;1;3;3;0;1
1000006;1A;1;0;0;3;0;1;3;1;1
1000007;1A;7;4;0;4;4;0;2;0;1
1000008;1A;1;4;1;3;1;0;4;1;1
1000009;1A;5;2;1;1;0;0;5;0;0
1000010;1A;7;4;0;2;4;3;1;1;1
1000011;1A;3;0;0;2;1;3;3;1;1
1000012;1A;5;0;1;2;3;1;2;0;1
1000013;1A;7;4;1;0;2;0;0;1;0
1000014;1A;2;1;0;1;1;3;4;0;0
