Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;2;5;9;10;8;5;6;8;9;5;8;2
1000001;1A;2;4;5;4;6;1;4;6;8;0;8;1
1000002;1A;2;5;0;1;2;2;0;7;8;0;1;1
1000003;1A;2;0;9;3;4;3;4;4;1;5;4;0
1000004;1A;2;3;5;0;8;4;3;7;3;2;4;2
1000005;1A;1;5;5;9;7;5;0;5;4;5;4;1
1000006;1A;2;0;8;5;0;1;4;0;8;1;1;0
1000007;1A;2;2;6;4;5;1;0;3;2;3;5;0
1000008;1A;0;0;5;10;7;2;5;3;3;5;8;2
1000009;1A;2;1;9;10;2;5;0;7;6;5;5;1
1000010;1A;1;2;6;8;6;4;5;5;7;3;5;2
1000011;1A;2;0;8;3;1;5;3;2;1;0;4;1
1000012;1A;0;4;2;4;2;1;2;0;0;4;8;2
1000013;1A;2;3;9;10;3;0;3;5;0;5;3;0
1000014;1A;0;5;4;1;5;2;6;5;1;4;8;2
