Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;5;1;2;7;5;8
1000001;1A;4;0;0;5;5;8
1000002;1A;2;0;1;5;0;8
1000003;1A;5;1;1;4;3;4
1000004;1A;1;0;0;3;0;0
1000005;1A;1;1;0;2;2;8
1000006;1A;0;1;2;5;0;6
1000007;1A;4;1;1;2;3;2
1000008;1A;1;0;1;7;2;3
1000009;1A;5;0;0;3;0;0
1000010;1A;3;1;1;2;1;1
1000011;1A;3;0;1;0;1;8
1000012;1A;5;1;1;1;1;0
1000013;1A;2;0;0;6;1;8
1000014;1A;0;1;1;2;5;1
1000015;1A;0;1;1;5;2;8
1000016;1A;0;1;2;1;2;4
1000017;1A;3;1;1;6;0;8
1000018;1A;4;0;1;6;4;3
1000019;1A;4;0;2;6;4;0
1000020;1A;1;0;1;5;2;6
1000021;1A;4;0;1;3;5;2
1000022;1A;3;0;0;1;3;0
1000023;1A;1;1;0;1;4;3
1000024;1A;2;0;0;6;2;5
1000025;1A;4;0;2;4;1;7
1000026;1A;4;1;2;4;3;7
1000027;1A;4;1;2;5;4;0
1000028;1A;0;0;0;2;5;7
1000029;1A;1;0;0;3;5;2
1000030;1A;1;1;2;2;1;0
1000031;1A;2;0;1;4;4;7
1000032;1A;5;0;2;3;0;3
1000033;1A;0;1;2;5;2;1
1000034;1A;0;1;1;2;2;0
1000035;1A;4;1;1;5;5;5
1000036;1A;4;1;1;6;1;3
1000037;1A;3;1;1;0;4;2
1000038;1A;2;0;1;3;2;8
1000039;1A;1;1;2;1;2;1
1000040;1A;0;0;2;1;1;8
1000041;1A;5;1;0;4;5;2
