Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;7;7;4
1000001;1A;0;1;4
1000002;1A;2;5;4
1000003;1A;5;5;0
1000004;1A;5;2;4
1000005;1A;0;5;2
1000006;1A;3;5;1
1000007;1A;3;0;2
1000008;1A;2;7;3
1000009;1A;6;0;1
1000010;1A;3;6;0
1000011;1A;5;3;4
1000012;1A;2;5;4
1000013;1A;2;5;1
1000014;1A;2;0;1
1000015;1A;5;4;4
1000016;1A;6;6;4
1000017;1A;2;6;0
1000018;1A;7;4;0
1000019;1A;5;5;4
1000020;1A;4;1;2
1000021;1A;3;3;1
1000022;1A;0;4;4
1000023;1A;2;3;1
1000024;1A;1;6;3
1000025;1A;3;4;3
1000026;1A;4;6;3
