Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;9;9;8;1;1;9;8;9;1;1;5;1;3;8;6
1000001;1A;1;9;1;1;0;9;0;3;1;0;0;0;3;7;1
1000002;1A;6;6;7;0;0;4;3;8;0;1;3;1;3;0;6
1000003;1A;2;8;6;1;1;3;3;0;1;0;0;1;3;3;5
1000004;1A;7;5;5;1;0;7;7;9;0;0;2;1;1;1;3
1000005;1A;1;5;7;0;0;0;8;4;0;1;3;1;1;6;3
1000006;1A;3;6;4;1;0;0;1;4;0;1;3;0;0;1;6
1000007;1A;9;7;2;0;0;0;6;9;0;1;4;1;1;5;5
1000008;1A;0;1;3;0;1;5;2;5;1;1;3;0;1;2;1
1000009;1A;6;0;4;0;0;2;2;6;0;1;3;0;1;0;2
1000010;1A;5;7;5;0;0;6;0;3;1;1;5;0;0;8;5
1000011;1A;3;3;5;1;0;2;5;5;1;1;2;1;1;0;6
1000012;1A;5;3;8;1;0;3;5;1;1;1;0;1;0;6;0
1000013;1A;0;1;7;0;1;2;4;4;0;1;2;0;0;0;1
1000014;1A;6;2;5;1;1;4;4;3;0;1;5;0;1;7;0
1000015;1A;4;4;8;0;0;5;1;8;0;0;4;0;3;3;2
1000016;1A;8;1;6;1;1;0;3;7;0;1;2;0;0;4;1
1000017;1A;3;0;0;1;0;8;4;9;0;0;1;1;2;4;2
1000018;1A;0;2;5;0;0;4;8;2;1;0;5;1;3;6;0
1000019;1A;9;4;0;0;1;2;8;5;0;0;2;0;3;0;3
1000020;1A;8;4;3;0;1;1;5;4;0;1;1;0;2;1;3
1000021;1A;6;6;1;0;0;4;3;7;1;0;4;0;3;8;0
