Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3;9.1;9.2;9.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;2;3;7;10;7;10;3;10;2;1;7;6;9;1;1;2;3;7;6;6;10;3;9;6;6;4;3
1000001;1A;1;3;7;3;7;9;2;2;0;0;7;6;1;1;0;1;2;0;2;4;3;3;7;5;1;3;2
1000002;1A;2;0;6;5;1;1;1;5;2;0;0;6;6;0;0;1;0;6;6;4;1;0;9;6;4;1;3
1000003;1A;2;1;1;3;4;2;0;5;1;0;2;5;9;0;1;0;3;7;5;5;4;1;2;3;4;0;0
1000004;1A;2;1;0;8;3;4;0;8;0;1;1;5;6;1;0;0;3;2;6;0;10;3;8;5;3;0;3
1000005;1A;0;0;4;9;0;5;2;5;0;0;7;0;5;1;1;2;0;3;3;4;1;0;6;4;5;4;0
1000006;1A;1;1;2;9;7;5;3;7;0;0;2;4;5;1;1;2;3;1;5;5;6;1;8;1;5;4;2
1000007;1A;1;1;5;3;1;0;2;10;1;0;0;4;0;0;0;1;2;2;6;2;4;0;1;4;5;2;2
1000008;1A;0;1;3;10;4;2;0;9;2;0;5;1;9;0;1;2;2;2;0;0;3;2;1;3;6;4;1
1000009;1A;1;0;2;8;0;7;2;2;1;0;3;4;6;0;0;2;0;5;3;1;10;0;0;5;4;3;2
1000010;1A;2;1;4;5;2;2;3;8;0;1;2;1;1;0;1;1;0;5;3;0;7;0;0;5;5;2;1
1000011;1A;1;1;2;6;0;2;1;0;0;1;4;4;6;1;1;1;0;3;1;0;7;0;1;6;4;1;0
1000012;1A;2;2;7;10;0;2;0;6;2;0;3;5;0;0;1;2;1;3;4;2;5;0;1;6;3;4;0
1000013;1A;2;3;2;8;5;9;3;10;2;0;3;1;7;0;0;2;1;7;5;4;10;1;2;3;5;4;2
1000014;1A;0;3;5;1;0;8;0;1;1;0;6;4;2;1;1;1;1;2;3;5;9;1;8;6;1;4;2
1000015;1A;0;3;2;10;6;3;1;2;0;0;1;1;5;0;0;0;0;4;6;3;5;3;8;2;1;4;1
1000016;1A;1;0;1;7;4;9;1;2;1;0;4;1;0;0;0;0;0;5;6;0;10;0;8;5;0;1;0
1000017;1A;0;2;7;10;1;6;3;7;1;1;1;0;6;1;0;0;2;1;5;6;7;1;1;5;0;3;1
