Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;1;2;4;5;2;2;5;8;10;4;1;2;6;8;8;4;2;9;5;4;2;5;10;7
1000001;1A;1;2;4;4;0;1;3;0;2;4;0;2;3;6;3;0;2;2;2;1;1;0;8;7
1000002;1A;1;0;4;3;0;2;3;0;8;4;1;2;1;1;0;3;2;1;0;0;0;1;10;2
1000003;1A;0;0;3;5;2;1;0;2;5;2;0;0;2;8;3;3;0;5;3;2;2;0;9;4
1000004;1A;1;2;1;5;2;0;0;4;5;3;0;2;4;4;7;0;0;2;5;4;0;2;9;3
1000005;1A;1;2;2;4;0;0;3;2;1;3;0;2;1;0;0;3;0;4;3;2;1;2;10;1
1000006;1A;0;1;0;1;1;2;4;8;9;0;0;2;4;1;0;1;0;7;0;1;2;3;5;1
1000007;1A;1;2;1;5;1;0;5;1;9;1;1;2;4;1;6;1;2;7;1;0;0;2;2;3
1000008;1A;0;0;2;0;2;0;1;5;10;0;1;0;1;3;0;3;2;2;5;4;2;0;0;2
1000009;1A;1;2;2;2;1;2;2;0;9;4;0;2;0;3;1;0;1;0;5;1;1;0;6;1
1000010;1A;1;0;1;4;1;0;5;4;3;0;0;0;0;0;0;2;2;7;0;0;2;1;6;4
1000011;1A;0;2;4;3;2;2;1;2;7;4;0;0;0;2;4;4;1;5;0;0;1;1;9;2
1000012;1A;1;1;2;2;2;2;0;0;6;4;0;0;4;5;1;2;0;6;1;3;1;0;7;4
1000013;1A;1;2;1;2;1;2;2;8;4;1;1;1;6;3;2;4;1;1;3;2;2;2;6;0
1000014;1A;0;0;4;0;1;2;3;6;0;3;0;2;1;4;4;3;0;3;5;1;1;4;2;6
1000015;1A;0;2;1;1;2;2;4;2;4;2;0;0;5;2;2;2;2;3;2;3;0;3;5;0
1000016;1A;0;0;1;1;0;2;2;5;3;1;0;2;6;2;6;0;0;9;3;3;2;0;8;7
